"County","Date","TPR","Tests","Cases_100K_7Day_MA","count_0","Rt"
"Anderson",2020-11-22,0.117,2289,NA,NA,NA
"Anderson",2020-11-29,0.112,2698,NA,NA,NA
"Anderson",2020-12-06,0.109,2358,NA,NA,NA
"Anderson",2020-12-13,0.153,2526,NA,NA,NA
"Anderson",2020-12-14,0.122,NA,45.4106967964594,11,NA
"Anderson",2020-12-15,0.137,NA,46.6380129260935,14,NA
"Anderson",2020-12-17,0.172,2526,59.8930271261411,15,NA
"Anderson",2020-12-18,0.166,2526,60.1384903520679,16,NA
"Anderson",2020-12-19,0.175,2526,49.5835716372152,16,NA
"Anderson",2020-12-20,0.174,2776,NA,NA,NA
"Anderson",2020-12-20,0.173,2526,49.829034863142,14,NA
"Anderson",2020-12-24,0.164,2776,58.1747845446534,14,NA
"Anderson",2020-12-25,0.166,2776,63.0840490631896,18,NA
"Anderson",2020-12-26,0.159,2776,63.5749755150432,16,NA
"Anderson",2020-12-27,0.294,2601,NA,NA,NA
"Anderson",2020-12-27,0.167,2776,53.0200568001905,17,NA
"Anderson",2020-12-31,0.224,2601,56.7020051890926,20,NA
"Anderson",2021-01-01,0.186,2601,109.476598763356,17,NA
"Anderson",2021-01-02,0.186,2601,107.267429730015,17,NA
"Anderson",2021-01-03,0.165,2570,NA,NA,NA
"Anderson",2021-01-03,0.175,2601,107.267429730015,11,NA
"Anderson",2021-01-04,0.17,2601,85.6666658484559,11,NA
"Anderson",2021-01-05,0.152,2601,180.170007830277,11,NA
"Anderson",2021-01-07,0.159,2570,190.970389771056,13,NA
"Anderson",2021-01-08,0.168,2570,127.886340707867,14,NA
"Anderson",2021-01-09,0.162,2570,131.322825870842,10,NA
"Anderson",2021-01-10,0.171,2200,NA,NA,NA
"Anderson",2021-01-10,0.154,2570,136.968480067159,9,NA
"Anderson",2021-01-11,0.152,2570,136.968480067159,8,NA
"Anderson",2021-01-12,0.161,2570,19.146131622291,12,NA
"Anderson",2021-01-14,0.172,2200,-0.981852903707231,10,NA
"Anderson",2021-01-15,0.181,2200,3.1910219370485,10,NA
"Anderson",2021-01-16,0.225,2200,0,12,NA
"Anderson",2021-01-17,0.19,1763,NA,NA,NA
"Anderson",2021-01-17,0.201,2200,0.736389677780423,10,NA
"Anderson",2021-01-18,0.197,2200,0.736389677780423,12,NA
"Anderson",2021-01-19,0.19,2200,16.2005729111693,16,NA
"Anderson",2021-01-21,0.168,1763,26.0191019482416,15,NA
"Anderson",2021-01-22,0.156,1763,21.1098374297055,18,NA
"Anderson",2021-01-23,0.111,1763,25.0372490445344,21,NA
"Anderson",2021-01-24,0.057,1246,NA,NA,NA
"Anderson",2021-01-24,0.1,1763,18.6552051704374,23,NA
"Anderson",2021-01-25,0.083,1763,18.6552051704374,26,NA
"Anderson",2021-01-26,0.075,1763,20.6189109778519,27,NA
"Anderson",2021-01-28,0.074,1246,13.5004774259744,30,NA
"Anderson",2021-01-29,0.144,1246,15.7096464593157,27,NA
"Anderson",2021-01-30,0.108,1246,11.0458451667063,23,NA
"Anderson",2021-01-31,0.062,1710,NA,NA,NA
"Anderson",2021-01-31,0.104,1246,13.991403877828,26,NA
"Anderson",2021-02-01,0.098,1246,13.991403877828,25,NA
"Anderson",2021-02-02,0.072,1246,34.8557780816067,22,NA
"Anderson",2021-02-04,0.058,1710,28.9646606593633,27,NA
"Anderson",2021-02-05,0.049,1710,31.6647561445582,26,NA
"Anderson",2021-02-06,0.051,1710,32.6466090482654,26,NA
"Anderson",2021-02-07,0.131,1736,NA,NA,NA
"Anderson",2021-02-07,0.124,1710,29.7010503371437,29,NA
"Anderson",2021-02-08,0.13,1710,30.1919767889974,32,NA
"Anderson",2021-02-09,0.134,1710,6.87297032595062,35,NA
"Anderson",2021-02-11,0.102,1736,1.71824258148765,36,NA
"Anderson",2021-02-12,0.094,1736,0.736389677780423,36,NA
"Anderson",2021-02-13,0.092,1736,-0.245463225926808,35,NA
"Anderson",2021-02-14,0.152,540,NA,NA,NA
"Anderson",2021-02-14,0.122,1736,0.490926451853615,11,NA
"Anderson",2021-02-15,0.086,1736,0,40,NA
"Anderson",2021-02-16,0.074,1736,0.490926451853615,54,NA
"Anderson",2021-02-20,0.179,845,3.43648516297531,53,NA
"Anderson",2021-02-21,0.152,540,NA,NA,NA
"Anderson",2021-02-21,0.194,845,2.94555871112169,56,NA
"Anderson",2021-02-22,0.162,845,2.94555871112169,49,NA
"Anderson",2021-02-23,0.168,845,3.1910219370485,41,NA
"Anderson",2021-02-25,0.133,540,0.245463225926808,37,NA
"Anderson",2021-02-26,0.131,540,5.15472774446296,39,NA
"Anderson",2021-02-27,0.053,540,7.11843355187743,42,NA
"Anderson",2021-02-28,0.03,851,NA,NA,NA
"Anderson",2021-02-28,0.045,540,6.87297032595062,46,NA
"Anderson",2021-03-01,0.038,540,6.87297032595062,49,NA
