"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2020-12-20,"Anderson",1800,NA,33,NA,NA,"48045","8658","2051","833","20206"
2020-12-20,"Andrews",500,NA,11,NA,NA,"13503","1833","309","106","5450"
2020-12-20,"Angelina",5000,NA,12,NA,NA,"67056","14422","6534","1752","28054"
2020-12-20,"Aransas",100,NA,27,NA,NA,"19803","6791","370","252","6701"
2020-12-20,"Archer",100,NA,49,NA,NA,"6921","1677","80","13","2381"
2020-12-20,"Armstrong",100,NA,5,NA,NA,"1499","470","32","86","466"
2020-12-20,"Atascosa",1200,NA,60,NA,NA,"38768","7605","1124","651","15239"
2020-12-20,"Austin",500,NA,11,NA,NA,"23704","5933","667","396","7873"
2020-12-20,"Bailey",200,NA,NA,NA,NA,"5089","1036","114","74","1982"
2020-12-20,"Bandera",100,NA,27,NA,NA,"19763","6439","352","180","6555"
2020-12-20,"Bastrop",400,NA,106,NA,NA,"68839","13865","1462","696","29356"
2020-12-20,"Baylor",200,NA,2,NA,NA,"2793","844","137","97","908"
2020-12-20,"Bee",400,NA,39,NA,NA,"26496","4091","981","684","11359"
2020-12-20,"Bell",4675,NA,1275,NA,NA,"272969","40534","15894","2466","95066"
2020-12-20,"Bexar",41675,NA,9156,NA,NA,"1552823","247843","100704","17248","614646"
2020-12-20,"Bosque",600,NA,18,NA,NA,"15224","4741","624","407","5126"
2020-12-20,"Bowie",700,NA,322,NA,NA,"73689","15832","6332","1467","29102"
2020-12-20,"Brazoria",4400,NA,2100,NA,NA,"287683","45752","9762","2648","105966"
2020-12-20,"Brazos",3900,NA,261,NA,NA,"186843","21693","7514","1414","59619"
2020-12-20,"Brewster",400,NA,NA,NA,NA,"7706","2231","303","0","2579"
2020-12-20,"Brooks",100,NA,1,NA,NA,"5317","1308","323","246","2253"
2020-12-20,"Brown",600,NA,13,NA,NA,"30883","7720","1663","911","11188"
2020-12-20,"Burleson",200,NA,3,NA,NA,"14869","3867","143","218","5600"
2020-12-20,"Burnet",1100,NA,44,NA,NA,"39239","10999","1823","595","13132"
