"Date","County","Age","Gender","Fully_Vaccinated","At_Least_One_Vaccinated"
2021-02-14,"Anderson","16-49 years","Female",108,NA
2021-02-14,"Anderson","50-64 years","Female",121,NA
2021-02-14,"Anderson","65-79 years","Female",57,NA
2021-02-14,"Anderson","80+ years","Female",6,NA
2021-02-14,"Anderson","Unknown","Female",0,NA
2021-02-14,"Anderson","16-49 years","Male",51,NA
2021-02-14,"Anderson","50-64 years","Male",44,NA
2021-02-14,"Anderson","65-79 years","Male",55,NA
2021-02-14,"Anderson","80+ years","Male",13,NA
2021-02-14,"Anderson","Unknown","Male",NA,NA
2021-02-14,"Anderson","16-49 years","Unknown",NA,NA
2021-02-14,"Anderson","50-64 years","Unknown",NA,NA
2021-02-14,"Anderson","65-79 years","Unknown",1,NA
2021-02-14,"Anderson","80+ years","Unknown",NA,NA
2021-02-14,"Anderson","Unknown","Unknown",NA,NA
2021-02-21,"Anderson","16-49 years","Female",182,NA
2021-02-21,"Anderson","50-64 years","Female",219,NA
2021-02-21,"Anderson","65-79 years","Female",361,NA
2021-02-21,"Anderson","80+ years","Female",119,NA
2021-02-21,"Anderson","Unknown","Female",0,NA
2021-02-21,"Anderson","16-49 years","Male",117,NA
2021-02-21,"Anderson","50-64 years","Male",131,NA
2021-02-21,"Anderson","65-79 years","Male",318,NA
2021-02-21,"Anderson","80+ years","Male",97,NA
2021-02-21,"Anderson","Unknown","Male",NA,NA
2021-02-21,"Anderson","16-49 years","Unknown",0,NA
2021-02-21,"Anderson","50-64 years","Unknown",NA,NA
2021-02-21,"Anderson","65-79 years","Unknown",1,NA
2021-02-21,"Anderson","80+ years","Unknown",NA,NA
2021-02-21,"Anderson","Unknown","Unknown",NA,NA
2021-02-28,"Anderson","16-49 years","Female",216,334
2021-02-28,"Anderson","50-64 years","Female",264,417
2021-02-28,"Anderson","65-79 years","Female",456,784
2021-02-28,"Anderson","80+ years","Female",137,259
2021-02-28,"Anderson","Unknown","Female",0,1
2021-02-28,"Anderson","16-49 years","Male",139,203
2021-02-28,"Anderson","50-64 years","Male",174,292
2021-02-28,"Anderson","65-79 years","Male",391,683
2021-02-28,"Anderson","80+ years","Male",121,192
2021-02-28,"Anderson","Unknown","Male",NA,NA
2021-02-28,"Anderson","16-49 years","Unknown",0,1
2021-02-28,"Anderson","50-64 years","Unknown",NA,NA
2021-02-28,"Anderson","65-79 years","Unknown",1,2
2021-02-28,"Anderson","80+ years","Unknown",NA,NA
2021-02-28,"Anderson","Unknown","Unknown",NA,NA
2021-03-07,"Anderson","16-49 years","Female",230,372
2021-03-07,"Anderson","16-49 years","Male",154,232
2021-03-07,"Anderson","16-49 years","Unknown",0,2
2021-03-07,"Anderson","50-64 years","Female",290,486
2021-03-07,"Anderson","50-64 years","Male",205,333
2021-03-07,"Anderson","65-79 years","Female",542,877
2021-03-07,"Anderson","65-79 years","Male",472,760
2021-03-07,"Anderson","65-79 years","Unknown",1,1
2021-03-07,"Anderson","80+ years","Female",168,291
2021-03-07,"Anderson","80+ years","Male",141,222
2021-03-07,"Anderson","Unknown","Female",0,1
2021-03-07,"Anderson","16-49 years","Female",230,372
2021-03-07,"Anderson","16-49 years","Male",154,232
2021-03-07,"Anderson","16-49 years","Unknown",0,2
2021-03-07,"Anderson","50-64 years","Female",290,486
2021-03-07,"Anderson","50-64 years","Male",205,333
2021-03-07,"Anderson","65-79 years","Female",542,877
2021-03-07,"Anderson","65-79 years","Male",472,760
2021-03-07,"Anderson","65-79 years","Unknown",1,1
2021-03-07,"Anderson","80+ years","Female",168,291
2021-03-07,"Anderson","80+ years","Male",141,222
2021-03-07,"Anderson","Unknown","Female",0,1
2021-02-14,"Andrews","16-49 years","Female",214,NA
2021-02-14,"Andrews","50-64 years","Female",113,NA
2021-02-14,"Andrews","65-79 years","Female",48,NA
2021-02-14,"Andrews","80+ years","Female",19,NA
2021-02-14,"Andrews","16-49 years","Male",127,NA
2021-02-14,"Andrews","50-64 years","Male",64,NA
2021-02-14,"Andrews","65-79 years","Male",27,NA
2021-02-14,"Andrews","80+ years","Male",9,NA
2021-02-14,"Andrews","16-49 years","Unknown",NA,NA
2021-02-14,"Andrews","50-64 years","Unknown",0,NA
2021-02-14,"Andrews","65-79 years","Unknown",0,NA
2021-02-14,"Andrews","80+ years","Unknown",0,NA
2021-02-21,"Andrews","16-49 years","Female",224,NA
2021-02-21,"Andrews","50-64 years","Female",117,NA
2021-02-21,"Andrews","65-79 years","Female",57,NA
2021-02-21,"Andrews","80+ years","Female",23,NA
2021-02-21,"Andrews","16-49 years","Male",136,NA
2021-02-21,"Andrews","50-64 years","Male",72,NA
2021-02-21,"Andrews","65-79 years","Male",30,NA
2021-02-21,"Andrews","80+ years","Male",11,NA
2021-02-21,"Andrews","16-49 years","Unknown",NA,NA
2021-02-21,"Andrews","50-64 years","Unknown",0,NA
2021-02-21,"Andrews","65-79 years","Unknown",0,NA
2021-02-21,"Andrews","80+ years","Unknown",0,NA
2021-02-28,"Andrews","16-49 years","Female",387,885
2021-02-28,"Andrews","50-64 years","Female",336,654
2021-02-28,"Andrews","65-79 years","Female",309,476
2021-02-28,"Andrews","80+ years","Female",128,176
2021-02-28,"Andrews","16-49 years","Male",228,589
2021-02-28,"Andrews","50-64 years","Male",229,499
2021-02-28,"Andrews","65-79 years","Male",251,386
2021-02-28,"Andrews","80+ years","Male",80,107
2021-02-28,"Andrews","16-49 years","Unknown",NA,NA
2021-02-28,"Andrews","50-64 years","Unknown",NA,NA
2021-02-28,"Andrews","65-79 years","Unknown",0,2
2021-02-28,"Andrews","80+ years","Unknown",2,2
2021-03-07,"Andrews","16-49 years","Female",425,1029
2021-03-07,"Andrews","16-49 years","Male",262,762
2021-03-07,"Andrews","50-64 years","Female",372,730
2021-03-07,"Andrews","50-64 years","Male",255,573
2021-03-07,"Andrews","65-79 years","Female",320,499
2021-03-07,"Andrews","65-79 years","Male",258,410
2021-03-07,"Andrews","65-79 years","Unknown",0,2
2021-03-07,"Andrews","80+ years","Female",133,184
2021-03-07,"Andrews","80+ years","Male",82,111
2021-03-07,"Andrews","80+ years","Unknown",2,2
2021-03-07,"Andrews","16-49 years","Female",425,1029
2021-03-07,"Andrews","16-49 years","Male",262,762
2021-03-07,"Andrews","50-64 years","Female",372,730
2021-03-07,"Andrews","50-64 years","Male",255,573
2021-03-07,"Andrews","65-79 years","Female",320,499
2021-03-07,"Andrews","65-79 years","Male",258,410
2021-03-07,"Andrews","65-79 years","Unknown",0,2
2021-03-07,"Andrews","80+ years","Female",133,184
2021-03-07,"Andrews","80+ years","Male",82,111
2021-03-07,"Andrews","80+ years","Unknown",2,2
2021-02-14,"Angelina","16-49 years","Female",713,NA
2021-02-14,"Angelina","50-64 years","Female",634,NA
2021-02-14,"Angelina","65-79 years","Female",558,NA
2021-02-14,"Angelina","80+ years","Female",199,NA
2021-02-14,"Angelina","Unknown","Female",2,NA
2021-02-14,"Angelina","16-49 years","Male",338,NA
2021-02-14,"Angelina","50-64 years","Male",360,NA
2021-02-14,"Angelina","65-79 years","Male",475,NA
2021-02-14,"Angelina","80+ years","Male",139,NA
2021-02-14,"Angelina","Unknown","Male",0,NA
2021-02-14,"Angelina","16-49 years","Unknown",0,NA
2021-02-14,"Angelina","50-64 years","Unknown",1,NA
2021-02-14,"Angelina","65-79 years","Unknown",0,NA
2021-02-14,"Angelina","80+ years","Unknown",1,NA
2021-02-14,"Angelina","Unknown","Unknown",NA,NA
2021-02-21,"Angelina","16-49 years","Female",829,NA
2021-02-21,"Angelina","50-64 years","Female",777,NA
2021-02-21,"Angelina","65-79 years","Female",787,NA
2021-02-21,"Angelina","80+ years","Female",313,NA
2021-02-21,"Angelina","Unknown","Female",2,NA
2021-02-21,"Angelina","16-49 years","Male",403,NA
2021-02-21,"Angelina","50-64 years","Male",454,NA
2021-02-21,"Angelina","65-79 years","Male",673,NA
2021-02-21,"Angelina","80+ years","Male",212,NA
2021-02-21,"Angelina","Unknown","Male",0,NA
2021-02-21,"Angelina","16-49 years","Unknown",0,NA
2021-02-21,"Angelina","50-64 years","Unknown",2,NA
2021-02-21,"Angelina","65-79 years","Unknown",2,NA
2021-02-21,"Angelina","80+ years","Unknown",1,NA
2021-02-21,"Angelina","Unknown","Unknown",NA,NA
