"Date","County","Race","Fully_Vaccinated","At_Least_One_Vaccinated","All_Vaccinated"
2021-02-14,"Anderson","Asian",4,NA,NA
2021-02-14,"Anderson","Black",15,NA,NA
2021-02-14,"Anderson","Hispanic",11,NA,NA
2021-02-14,"Anderson","White",209,NA,NA
2021-02-14,"Anderson","Other",45,NA,NA
2021-02-14,"Anderson","Unknown",172,NA,NA
2021-02-21,"Anderson","Asian",13,NA,NA
2021-02-21,"Anderson","Black",79,NA,NA
2021-02-21,"Anderson","Hispanic",45,NA,NA
2021-02-21,"Anderson","White",1108,NA,NA
2021-02-21,"Anderson","Other",83,NA,NA
2021-02-21,"Anderson","Unknown",217,NA,NA
2021-02-28,"Anderson","Asian",13,18,NA
2021-02-28,"Anderson","Black",100,193,NA
2021-02-28,"Anderson","Hispanic",50,81,NA
2021-02-28,"Anderson","White",1348,1896,NA
2021-02-28,"Anderson","Other",121,224,NA
2021-02-28,"Anderson","Unknown",267,756,NA
2021-03-07,"Anderson","Asian",13,22,NA
2021-03-07,"Anderson","Black",121,252,NA
2021-03-07,"Anderson","Hispanic",58,111,NA
2021-03-07,"Anderson","White",1589,2349,NA
2021-03-07,"Anderson","Other",129,243,NA
2021-03-07,"Anderson","Unknown",293,600,NA
2021-03-07,"Anderson","Asian",13,22,NA
2021-03-07,"Anderson","Black",121,252,NA
2021-03-07,"Anderson","Hispanic",58,111,NA
2021-03-07,"Anderson","White",1589,2349,NA
2021-03-07,"Anderson","Other",129,243,NA
2021-03-07,"Anderson","Unknown",293,600,NA
2021-02-14,"Andrews","Asian",4,NA,NA
2021-02-14,"Andrews","Black",4,NA,NA
2021-02-14,"Andrews","Hispanic",18,NA,NA
2021-02-14,"Andrews","White",180,NA,NA
2021-02-14,"Andrews","Other",9,NA,NA
2021-02-14,"Andrews","Unknown",406,NA,NA
2021-02-21,"Andrews","Asian",4,NA,NA
2021-02-21,"Andrews","Black",4,NA,NA
2021-02-21,"Andrews","Hispanic",32,NA,NA
2021-02-21,"Andrews","White",203,NA,NA
2021-02-21,"Andrews","Other",11,NA,NA
