"District","Date","County","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD (1902)","2020-09-20","Anderson,Freestone,Henderson",544,415,0,0,2,0,0,0,2,3,0,12,4,0,13,6
"Elkhart ISD (1903)","2020-09-20","Anderson,Houston,Leon",1207,1095,0,1,0,1,0,2,0,0,1,5,13,0,3,16
"Frankston ISD (1904)","2020-09-20","Anderson,Cherokee,Henderson",760,688,0,1,0,0,0,1,0,1,1,3,0,0,5,0
"Neches ISD (1906)","2020-09-20","Anderson,Cherokee",317,313,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Palestine ISD (1907)","2020-09-20","Anderson,Cherokee",3384,2857,0,0,6,4,0,10,0,2,0,18,20,1,31,8
"Westwood ISD (1908)","2020-09-20","Anderson,Freestone,Leon",1358,1102,0,1,4,0,0,4,1,0,3,12,3,1,12,5
"Slocum ISD (1909)","2020-09-20","Anderson,Cherokee,Houston",350,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews ISD (2901)","2020-09-20","Andrews,Ector,Gaines,Martin,Midland,Winkler",4145,3389,0,0,0,2,0,2,0,4,5,13,13,0,34,1
"Pineywoods Community Academy (3801)","2020-09-20","Angelina",988,653,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Hudson ISD (3902)","2020-09-20","Angelina,Houston,Trinity",2793,2309,0,0,1,0,0,0,1,4,3,9,4,0,12,8
"Lufkin ISD (3903)","2020-09-20","Angelina,Nacogdoches",7386,5612,0,2,8,1,1,9,1,12,5,21,11,3,26,20
"Huntington ISD (3904)","2020-09-20","Angelina,Nacogdoches",1571,1420,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,0,5,0
"Diboll ISD (3905)","2020-09-20","Angelina,Polk,Trinity",1872,1478,NA,NA,NA,NA,NA,NA,NA,2,0,4,1,0,2,5
"Zavalla ISD (3906)","2020-09-20","Angelina,Jasper,Nacogdoches,Polk,San Augustine,Tyler",302,266,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,3,0
"Central ISD (3907)","2020-09-20","Angelina,Cherokee,Houston,Nacogdoches",1439,1203,0,0,1,0,0,1,0,2,0,2,4,0,8,0
"Aransas County ISD (4901)","2020-09-20","Aransas,Calhoun,Nueces,Refugio,San Patricio",2994,1746,NA,NA,NA,NA,NA,NA,NA,1,1,5,0,0,1,6
"Archer City ISD (5901)","2020-09-20","Archer,Clay,Jack,Wichita,Young",512,477,0,0,0,1,0,1,0,0,0,1,2,0,2,1
"Holliday ISD (5902)","2020-09-20","Archer,Baylor,Wichita",1044,994,0,2,1,1,0,0,4,1,2,5,4,0,3,9
"Windthorst ISD (5904)","2020-09-20","Archer,Clay",416,404,NA,NA,NA,NA,NA,NA,NA,0,2,6,9,3,1,13
"Claude ISD (6902)","2020-09-20","Armstrong,Briscoe,Carson,Donley,Potter,Randall,Swisher",318,308,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"Charlotte ISD (7901)","2020-09-20","Atascosa,Frio,La Salle",413,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD (7902)","2020-09-20","Atascosa",1554,1238,0,1,0,0,0,1,0,1,1,3,1,0,5,1
"Lytle ISD (7904)","2020-09-20","Atascosa,Bexar,Medina",1728,999,0,0,4,0,0,4,0,0,1,9,0,0,9,1
"Pleasanton ISD (7905)","2020-09-20","Atascosa,Bexar,Karnes,Live Oak,McMullen,Wilson",3419,2211,NA,NA,NA,NA,NA,NA,NA,1,0,1,5,0,4,3
"Poteet ISD (7906)","2020-09-20","Atascosa,Bexar,Frio,Medina",1590,570,NA,NA,NA,NA,NA,NA,NA,1,0,5,1,0,7,0
"Bellville ISD (8901)","2020-09-20","Austin,Colorado,Fayette,Waller,Washington",2223,2017,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,0,4
"Sealy ISD (8902)","2020-09-20","Austin,Colorado,Fort Bend,Waller",2790,2148,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,0,1,7
"Brazos ISD (8903)","2020-09-20","Austin,Colorado,Fort Bend,Wharton",781,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muleshoe ISD (9901)","2020-09-20","Bailey,Lamb,Parmer",1346,1205,1,0,9,4,0,13,1,1,1,18,8,0,27,1
"Medina ISD (10901)","2020-09-20","Bandera,Kerr,Medina",276,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
