County,Age_Group,Boosted,Date
Anderson,6 months-4 years,0,2022-09-06
Anderson,5-11 years,12,2022-09-06
Anderson,12-15 years,41,2022-09-06
Anderson,16-49 years,3316,2022-09-06
Anderson,50-64 years,3272,2022-09-06
Anderson,65-79 years,2748,2022-09-06
Anderson,80+ years,834,2022-09-06
Andrews,6 months-4 years,0,2022-09-06
Andrews,5-11 years,6,2022-09-06
Andrews,12-15 years,51,2022-09-06
Andrews,16-49 years,978,2022-09-06
Andrews,50-64 years,971,2022-09-06
Andrews,65-79 years,773,2022-09-06
Andrews,80+ years,253,2022-09-06
Andrews,Unknown,0,2022-09-06
Angelina,6 months-4 years,0,2022-09-06
Angelina,5-11 years,43,2022-09-06
Angelina,12-15 years,143,2022-09-06
Angelina,16-49 years,3922,2022-09-06
Angelina,50-64 years,4891,2022-09-06
Angelina,65-79 years,5767,2022-09-06
Angelina,80+ years,1836,2022-09-06
Angelina,Unknown,0,2022-09-06
Aransas,6 months-4 years,0,2022-09-06
Aransas,5-11 years,16,2022-09-06
Aransas,12-15 years,35,2022-09-06
Aransas,16-49 years,893,2022-09-06
Aransas,50-64 years,1838,2022-09-06
Aransas,65-79 years,2867,2022-09-06
Aransas,80+ years,896,2022-09-06
Aransas,Unknown,0,2022-09-06
Archer,6 months-4 years,0,2022-09-06
Archer,5-11 years,4,2022-09-06
Archer,12-15 years,8,2022-09-06
Archer,16-49 years,296,2022-09-06
Archer,50-64 years,469,2022-09-06
Archer,65-79 years,663,2022-09-06
Archer,80+ years,216,2022-09-06
Armstrong,5-11 years,1,2022-09-06
Armstrong,12-15 years,1,2022-09-06
Armstrong,16-49 years,39,2022-09-06
Armstrong,50-64 years,83,2022-09-06
Armstrong,65-79 years,137,2022-09-06
Armstrong,80+ years,37,2022-09-06
Armstrong,Unknown,0,2022-09-06
Atascosa,6 months-4 years,0,2022-09-06
Atascosa,5-11 years,49,2022-09-06
Atascosa,12-15 years,195,2022-09-06
Atascosa,16-49 years,2638,2022-09-06
Atascosa,50-64 years,3196,2022-09-06
Atascosa,65-79 years,2928,2022-09-06
Atascosa,80+ years,740,2022-09-06
Atascosa,Unknown,0,2022-09-06
Austin,6 months-4 years,0,2022-09-06
Austin,5-11 years,19,2022-09-06
Austin,12-15 years,56,2022-09-06
Austin,16-49 years,1286,2022-09-06
Austin,50-64 years,1739,2022-09-06
Austin,65-79 years,2358,2022-09-06
Austin,80+ years,673,2022-09-06
Austin,Unknown,0,2022-09-06
Bailey,6 months-4 years,0,2022-09-06
Bailey,5-11 years,3,2022-09-06
Bailey,12-15 years,3,2022-09-06
