County,Race/Ethnicity,Boosted,Date
Anderson,Black,12369,2022-09-06
Anderson,Hispanic,5617,2022-09-06
Anderson,Other,11319,2022-09-06
Anderson,Unknown,1390,2022-09-06
Anderson,White,30149,2022-09-06
Andrews,Asian,150,2022-09-06
Andrews,Black,172,2022-09-06
Andrews,Hispanic,10241,2022-09-06
Andrews,Other,792,2022-09-06
Andrews,Unknown,2085,2022-09-06
Andrews,White,7392,2022-09-06
Angelina,Asian,1054,2022-09-06
Angelina,Black,12287,2022-09-06
Angelina,Hispanic,20308,2022-09-06
Angelina,Other,17042,2022-09-06
Angelina,Unknown,5929,2022-09-06
Angelina,White,46040,2022-09-06
Aransas,Asian,592,2022-09-06
Aransas,Black,241,2022-09-06
Aransas,Hispanic,6634,2022-09-06
Aransas,Other,8329,2022-09-06
Aransas,Unknown,929,2022-09-06
Aransas,White,20856,2022-09-06
Archer,Asian,21,2022-09-06
Archer,Black,47,2022-09-06
Archer,Hispanic,661,2022-09-06
Archer,Other,2061,2022-09-06
Archer,Unknown,757,2022-09-06
Archer,White,6699,2022-09-06
Armstrong,Asian,11,2022-09-06
Armstrong,Black,8,2022-09-06
Armstrong,Hispanic,131,2022-09-06
Armstrong,Other,254,2022-09-06
Armstrong,Unknown,107,2022-09-06
Armstrong,White,1341,2022-09-06
Atascosa,Asian,270,2022-09-06
Atascosa,Black,311,2022-09-06
Atascosa,Hispanic,27668,2022-09-06
Atascosa,Other,15514,2022-09-06
Atascosa,Unknown,1730,2022-09-06
Atascosa,White,19669,2022-09-06
Austin,Asian,276,2022-09-06
Austin,Black,2180,2022-09-06
Austin,Hispanic,8630,2022-09-06
Austin,Other,6840,2022-09-06
Austin,Unknown,1217,2022-09-06
Austin,White,17980,2022-09-06
Bailey,Asian,37,2022-09-06
Bailey,Black,21,2022-09-06
Bailey,Hispanic,2910,2022-09-06
Bailey,Other,412,2022-09-06
Bailey,Unknown,1734,2022-09-06
Bailey,White,1648,2022-09-06
Bandera,Asian,108,2022-09-06
Bandera,Black,126,2022-09-06
Bandera,Hispanic,3484,2022-09-06
Bandera,Other,6535,2022-09-06
Bandera,Unknown,2160,2022-09-06
Bandera,White,14283,2022-09-06
Bastrop,Asian,954,2022-09-06
Bastrop,Black,4442,2022-09-06
Bastrop,Hispanic,41291,2022-09-06
Bastrop,Other,44070,2022-09-06
Bastrop,Unknown,5571,2022-09-06
Bastrop,White,39109,2022-09-06
Baylor,Asian,26,2022-09-06
Baylor,Black,54,2022-09-06
Baylor,Hispanic,260,2022-09-06
Baylor,Other,221,2022-09-06
Baylor,Unknown,545,2022-09-06
Baylor,White,2438,2022-09-06
Bee,Asian,279,2022-09-06
Bee,Black,2572,2022-09-06
Bee,Hispanic,15603,2022-09-06
Bee,Other,9704,2022-09-06
Bee,Unknown,3387,2022-09-06
Bee,White,12050,2022-09-06
Bell,Asian,12517,2022-09-06
Bell,Black,63199,2022-09-06
Bell,Hispanic,73017,2022-09-06
Bell,Other,85844,2022-09-06
Bell,Unknown,17159,2022-09-06
Bell,White,160120,2022-09-06
Bexar,Asian,76873,2022-09-06
Bexar,Black,129493,2022-09-06
Bexar,Hispanic,1437230,2022-09-06
Bexar,Other,879182,2022-09-06
Bexar,Unknown,106084,2022-09-06
Bexar,White,845082,2022-09-06
Blanco,Asian,54,2022-09-06
Blanco,Black,70,2022-09-06
Blanco,Hispanic,2028,2022-09-06
Blanco,Other,3532,2022-09-06
Blanco,Unknown,367,2022-09-06
Blanco,White,10181,2022-09-06
Borden,Asian,4,2022-09-06
Borden,Black,1,2022-09-06
Borden,Hispanic,58,2022-09-06
Borden,Other,102,2022-09-06
Borden,Unknown,16,2022-09-06
Borden,White,289,2022-09-06
Bosque,Asian,68,2022-09-06
Bosque,Black,265,2022-09-06
Bosque,Hispanic,2349,2022-09-06
Bosque,Other,3461,2022-09-06
Bosque,Unknown,1971,2022-09-06
Bosque,White,13907,2022-09-06
Bowie,Asian,1351,2022-09-06
Bowie,Black,17373,2022-09-06
Bowie,Hispanic,6353,2022-09-06
Bowie,Other,10250,2022-09-06
Bowie,Unknown,3069,2022-09-06
Bowie,White,46284,2022-09-06
