County,Gender,Age_Group,Population_2020_04_01,Population_2020_07_01,Population_2021_07_01
Anderson,Female,<5 years,1477,1477,1441
Anderson,Female,12-15 years,1211,1209,1205
Anderson,Female,16+ years,17533,17510,17550
Anderson,Female,50-64 years,4224,4213,4190
Anderson,Female,65-79 years,3504,3511,3576
Anderson,Female,80+ years,1035,1030,1019
Anderson,Female,5+ years,20795,20771,20782
Anderson,Female,65+ years,4539,4541,4595
Anderson,Female,12+ years,18744,18719,18755
Anderson,Female,<16 years,4739,4738,4673
Anderson,Female,16-49 years,8770,8756,8765
Anderson,Male,<5 years,1548,1551,1513
Anderson,Male,12-15 years,1333,1328,1307
Anderson,Male,16+ years,30542,30543,31179
Anderson,Male,50-64 years,6349,6341,6451
Anderson,Male,65-79 years,3357,3366,3442
Anderson,Male,80+ years,681,683,685
Anderson,Male,5+ years,34102,34082,34666
Anderson,Male,65+ years,4038,4049,4127
Anderson,Male,12+ years,31875,31871,32486
Anderson,Male,<16 years,5108,5090,5000
Anderson,Male,16-49 years,20155,20153,20601
Andrews,Female,<5 years,798,794,769
Andrews,Female,12-15 years,610,608,615
Andrews,Female,16+ years,6482,6490,6461
Andrews,Female,50-64 years,1401,1401,1414
Andrews,Female,65-79 years,705,712,730
Andrews,Female,80+ years,243,246,254
Andrews,Female,5+ years,8277,8277,8253
Andrews,Female,65+ years,948,958,984
Andrews,Female,12+ years,7092,7098,7076
Andrews,Female,<16 years,2593,2581,2561
Andrews,Female,16-49 years,4133,4131,4063
Andrews,Male,<5 years,796,789,759
Andrews,Male,12-15 years,674,676,651
Andrews,Male,16+ years,6836,6850,6810
Andrews,Male,50-64 years,1505,1506,1506
Andrews,Male,65-79 years,656,665,689
Andrews,Male,80+ years,150,146,146
Andrews,Male,5+ years,8739,8752,8659
Andrews,Male,65+ years,806,811,835
Andrews,Male,12+ years,7510,7526,7461
Andrews,Male,<16 years,2699,2691,2608
Andrews,Male,16-49 years,4525,4533,4469
Angelina,Female,<5 years,2764,2743,2667
Angelina,Female,12-15 years,2554,2545,2525
Angelina,Female,16+ years,34311,34317,34519
Angelina,Female,50-64 years,7987,7986,7926
Angelina,Female,65-79 years,5945,5974,6142
Angelina,Female,80+ years,1970,1971,1984
Angelina,Female,5+ years,41248,41246,41412
Angelina,Female,65+ years,7915,7945,8126
Angelina,Female,12+ years,36865,36862,37044
Angelina,Female,<16 years,9701,9672,9560
Angelina,Female,16-49 years,18409,18386,18467
Angelina,Male,<5 years,2934,2904,2847
Angelina,Male,12-15 years,2601,2595,2607
Angelina,Male,16+ years,32350,32376,32515
Angelina,Male,50-64 years,8096,8099,8072
Angelina,Male,65-79 years,5035,5062,5167
Angelina,Male,80+ years,1339,1333,1318
Angelina,Male,5+ years,39449,39452,39580
Angelina,Male,65+ years,6374,6395,6485
Angelina,Male,12+ years,34951,34971,35122
Angelina,Male,<16 years,10033,9980,9912
Angelina,Male,16-49 years,17880,17882,17958
Aransas,Female,<5 years,551,539,525
Aransas,Female,12-15 years,488,493,511
Aransas,Female,16+ years,10107,10157,10402
Aransas,Female,50-64 years,2819,2833,2881
Aransas,Female,65-79 years,2614,2623,2680
Aransas,Female,80+ years,768,775,795
Aransas,Female,5+ years,11400,11463,11771
Aransas,Female,65+ years,3382,3398,3475
Aransas,Female,12+ years,10595,10650,10913
Aransas,Female,<16 years,1844,1845,1894
Aransas,Female,16-49 years,3906,3926,4046
Aransas,Male,<5 years,625,631,630
Aransas,Male,12-15 years,513,513,531
Aransas,Male,16+ years,9855,9887,10133
Aransas,Male,50-64 years,2573,2573,2614
Aransas,Male,65-79 years,2503,2516,2538
