County,Race/Ethnicity,Population_Total,Age_Group
Anderson,Asian,421,total
Anderson,Black,12437,total
Anderson,Hispanic,11002,total
Anderson,Other,4498,total
Anderson,White,33349,total
Anderson,Asian,400,5+
Anderson,Black,11947,5+
Anderson,Hispanic,10246,5+
Anderson,Other,3933,5+
Anderson,White,31819,5+
Anderson,Asian,340,16+
Anderson,Black,11083,16+
Anderson,Hispanic,8729,16+
Anderson,Other,2871,16+
Anderson,White,28468,16+
Anderson,Asian,36,65+
Anderson,Black,974,65+
Anderson,Hispanic,458,65+
Anderson,Other,376,65+
Anderson,White,7132,65+
Andrews,Asian,103,total
Andrews,Black,251,total
Andrews,Hispanic,10777,total
Andrews,Other,1391,total
Andrews,White,7008,total
Andrews,Asian,101,5+
Andrews,Black,230,5+
Andrews,Hispanic,9713,5+
Andrews,Other,1261,5+
Andrews,White,6586,5+
Andrews,Asian,83,16+
Andrews,Black,189,16+
Andrews,Hispanic,7574,16+
Andrews,Other,958,16+
Andrews,White,5515,16+
Andrews,Asian,18,65+
Andrews,Black,34,65+
Andrews,Hispanic,633,65+
Andrews,Other,135,65+
Andrews,White,1082,65+
Angelina,Asian,813,total
Angelina,Black,12863,total
Angelina,Hispanic,20235,total
Angelina,Other,5286,total
Angelina,White,51188,total
Angelina,Asian,768,5+
Angelina,Black,11971,5+
Angelina,Hispanic,18510,5+
Angelina,Other,4532,5+
Angelina,White,48535,5+
Angelina,Asian,689,16+
Angelina,Black,10003,16+
Angelina,Hispanic,14368,16+
Angelina,Other,3212,16+
Angelina,White,42435,16+
Angelina,Asian,188,65+
Angelina,Black,1537,65+
Angelina,Hispanic,1331,65+
Angelina,Other,479,65+
Angelina,White,11399,65+
Aransas,Asian,442,total
Aransas,Black,353,total
Aransas,Hispanic,7231,total
Aransas,Other,2119,total
Aransas,White,15953,total
Aransas,Asian,424,5+
Aransas,Black,329,5+
Aransas,Hispanic,6684,5+
Aransas,Other,1912,5+
Aransas,White,15430,5+
Aransas,Asian,374,16+
