County,TSA,TSA_Name,TSA_Combined,PHR,PHR_Name,PHR_Combined,Metro_Area,Population_2020_04_01,Population_2020_07_01,Population_2021_07_01
Anderson,G,Longview/Tyler,G - Longview/Tyler,4/5N,Tyler PHR,4/5N - Tyler PHR,Non-Metro,57922,57881,58402
Andrews,J,Midland/Odessa,J - Midland/Odessa,9/10,El Paso PHR,9/10 - El Paso PHR,Non-Metro,18610,18612,18440
Angelina,H,Lufkin,H - Lufkin,4/5N,Tyler PHR,4/5N - Tyler PHR,Non-Metro,86395,86345,86506
Aransas,U,Corpus Christi,U - Corpus Christi,11,Harlingen PHR,11 - Harlingen PHR,Metro,23830,23916,24510
Archer,C,Wichita Falls,C - Wichita Falls,2/3,Arlington PHR,2/3 - Arlington PHR,Metro,8560,8557,8681
Armstrong,A,Amarillo,A - Amarillo,1,Lubbock PHR,1 - Lubbock PHR,Metro,1848,1847,1839
Atascosa,P,San Antonio,P - San Antonio,8,San Antonio PHR,8 - San Antonio PHR,Metro,48981,49089,49939
Austin,Q,Houston,Q - Houston,6/5S,Houston PHR,6/5S - Houston PHR,Metro,30167,30109,30380
Bailey,B,Lubbock,B - Lubbock,1,Lubbock PHR,1 - Lubbock PHR,Non-Metro,6904,6859,6835
Bandera,P,San Antonio,P - San Antonio,8,San Antonio PHR,8 - San Antonio PHR,Metro,20851,20987,21565
Bastrop,O,Austin,O - Austin,7,Temple PHR,7 - Temple PHR,Metro,97216,97983,102058
Baylor,C,Wichita Falls,C - Wichita Falls,2/3,Arlington PHR,2/3 - Arlington PHR,Non-Metro,3465,3464,3477
Bee,U,Corpus Christi,U - Corpus Christi,11,Harlingen PHR,11 - Harlingen PHR,Non-Metro,31047,30990,30924
Bell,L,Belton/Killeen,L - Belton/Killeen,7,Temple PHR,7 - Temple PHR,Metro,370647,371981,379617
Bexar,P,San Antonio,P - San Antonio,8,San Antonio PHR,8 - San Antonio PHR,Metro,2009324,2014052,2028236
Blanco,O,Austin,O - Austin,7,Temple PHR,7 - Temple PHR,Non-Metro,11374,11454,11886
Borden,B,Lubbock,B - Lubbock,9/10,El Paso PHR,9/10 - El Paso PHR,Non-Metro,631,641,617
Bosque,M,Waco,M - Waco,7,Temple PHR,7 - Temple PHR,Non-Metro,18235,18239,18503
Bowie,F,Paris,F - Paris,4/5N,Tyler PHR,4/5N - Tyler PHR,Metro,92893,92792,92581
Brazoria,R,Galveston,R - Galveston,6/5S,Houston PHR,6/5S - Houston PHR,Metro,372031,373368,379689
Brazos,N,Bryan/College Station,N - Bryan/College Station,7,Temple PHR,7 - Temple PHR,Metro,233849,234480,237032
Brewster,J,Midland/Odessa,J - Midland/Odessa,9/10,El Paso PHR,9/10 - El Paso PHR,Non-Metro,9546,9566,9450
Briscoe,A,Amarillo,A - Amarillo,1,Lubbock PHR,1 - Lubbock PHR,Non-Metro,1435,1421,1403
Brooks,U,Corpus Christi,U - Corpus Christi,11,Harlingen PHR,11 - Harlingen PHR,Non-Metro,7076,7030,6994
