Group_Type,Group,Population_Total,Population_16,Population_5
Age,12-15 years,1733728,1733728,1733728
Age,16-49 years,13934613,13934613,13934613
Age,5-11 years,2973547,2973547,2973547
Age,50-64 years,5104716,5104716,5104716
Age,6 months-4 years,1333807,1333807,1333807
Age,65-79 years,3087096,3087096,3087096
Age,80+ years,788888,788888,788888
Gender,Female,14791971,11555887,13858793
Gender,Male,14735970,11359426,13763706
Race,Asian,1557064,1258122,1464091
Race,Black,3630643,2874399,3392532
Race,Hispanic,11857401,8819304,10916216
Race,Other,2573520,1677297,2277170
Race,White,11885058,10006091,11318750
