Gender,Age_Group,Race/Ethnicity,Boosted,Date
Female,6 months-4 years,Asian,0,2022-09-06
Female,6 months-4 years,Black,0,2022-09-06
Female,6 months-4 years,Hispanic,0,2022-09-06
Female,6 months-4 years,Other,0,2022-09-06
Female,6 months-4 years,Unknown,0,2022-09-06
Female,6 months-4 years,White,0,2022-09-06
Female,5-11 years,Asian,3810,2022-09-06
Female,5-11 years,Black,2048,2022-09-06
Female,5-11 years,Hispanic,19778,2022-09-06
Female,5-11 years,Other,11940,2022-09-06
Female,5-11 years,Unknown,720,2022-09-06
Female,5-11 years,White,9287,2022-09-06
Female,12-15 years,Asian,7087,2022-09-06
Female,12-15 years,Black,5430,2022-09-06
Female,12-15 years,Hispanic,44024,2022-09-06
Female,12-15 years,Other,25868,2022-09-06
Female,12-15 years,Unknown,985,2022-09-06
Female,12-15 years,White,18346,2022-09-06
Female,16-49 years,Asian,136234,2022-09-06
Female,16-49 years,Black,119118,2022-09-06
Female,16-49 years,Hispanic,558863,2022-09-06
Female,16-49 years,Other,308140,2022-09-06
Female,16-49 years,Unknown,34155,2022-09-06
Female,16-49 years,White,445541,2022-09-06
Female,50-64 years,Asian,52509,2022-09-06
Female,50-64 years,Black,103376,2022-09-06
Female,50-64 years,Hispanic,319436,2022-09-06
Female,50-64 years,Other,245292,2022-09-06
Female,50-64 years,Unknown,21643,2022-09-06
Female,50-64 years,White,363659,2022-09-06
Female,65-79 years,Asian,27684,2022-09-06
Female,65-79 years,Black,68114,2022-09-06
Female,65-79 years,Hispanic,198571,2022-09-06
Female,65-79 years,Other,268226,2022-09-06
Female,65-79 years,Unknown,14209,2022-09-06
Female,65-79 years,White,378025,2022-09-06
Female,80+ years,Asian,5193,2022-09-06
Female,80+ years,Black,14410,2022-09-06
Female,80+ years,Hispanic,47567,2022-09-06
Female,80+ years,Other,84685,2022-09-06
Female,80+ years,Unknown,4857,2022-09-06
Female,80+ years,White,115412,2022-09-06
Female,Unknown,Asian,0,2022-09-06
Female,Unknown,Black,0,2022-09-06
Female,Unknown,Hispanic,,2022-09-06
Female,Unknown,Other,0,2022-09-06
Female,Unknown,Unknown,0,2022-09-06
Female,Unknown,White,0,2022-09-06
Male,6 months-4 years,Asian,0,2022-09-06
Male,6 months-4 years,Black,0,2022-09-06
Male,6 months-4 years,Hispanic,0,2022-09-06
Male,6 months-4 years,Other,0,2022-09-06
Male,6 months-4 years,Unknown,0,2022-09-06
Male,6 months-4 years,White,0,2022-09-06
Male,5-11 years,Asian,3964,2022-09-06
Male,5-11 years,Black,2122,2022-09-06
Male,5-11 years,Hispanic,20261,2022-09-06
Male,5-11 years,Other,12121,2022-09-06
Male,5-11 years,Unknown,685,2022-09-06
Male,5-11 years,White,9915,2022-09-06
Male,12-15 years,Asian,7068,2022-09-06
Male,12-15 years,Black,5399,2022-09-06
Male,12-15 years,Hispanic,42411,2022-09-06
Male,12-15 years,Other,25469,2022-09-06
Male,12-15 years,Unknown,948,2022-09-06
Male,12-15 years,White,17896,2022-09-06
Male,16-49 years,Asian,124619,2022-09-06
Male,16-49 years,Black,87621,2022-09-06
Male,16-49 years,Hispanic,417864,2022-09-06
Male,16-49 years,Other,249102,2022-09-06
Male,16-49 years,Unknown,24310,2022-09-06
Male,16-49 years,White,376676,2022-09-06
Male,50-64 years,Asian,49229,2022-09-06
Male,50-64 years,Black,81113,2022-09-06
Male,50-64 years,Hispanic,268965,2022-09-06
Male,50-64 years,Other,194226,2022-09-06
Male,50-64 years,Unknown,16877,2022-09-06
Male,50-64 years,White,322640,2022-09-06
Male,65-79 years,Asian,23948,2022-09-06
