"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-04-12,"A","Amarillo","A - Amarillo",440127,NA,17,13,4,613,77,417
2020-04-12,"B","Lubbock","B - Lubbock",513580,NA,34,22,12,613,93,755
2020-04-12,"C","Wichita Falls","C - Wichita Falls",219793,NA,5,4,1,348,20,240
2020-04-12,"D","Abilene","D - Abilene",306972,NA,6,4,2,479,36,214
2020-04-12,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,369,208,161,5095,623,7347
2020-04-12,"F","Paris","F - Paris",273329,NA,14,2,12,NA,36,421
2020-04-12,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,32,16,16,714,103,921
2020-04-12,"H","Lufkin","H - Lufkin",272151,NA,15,10,5,257,35,190
2020-04-12,"I","El Paso","I - El Paso",881765,NA,14,8,6,702,73,328
2020-04-12,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,10,6,4,732,42,663
2020-04-12,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,284,13,208
2020-04-12,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,11,1,10,663,56,434
2020-04-12,"M","Waco","M - Waco",330048,NA,9,4,5,363,26,262
2020-04-12,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,24,16,8,278,15,234
2020-04-12,"O","Austin","O - Austin",2375407,NA,22,10,12,1408,144,1059
2020-04-12,"P","San Antonio","P - San Antonio",2945792,NA,57,35,22,2488,351,3398
2020-04-12,"Q","Houston","Q - Houston",6688587,NA,516,302,214,4062,403,6949
2020-04-12,"R","Galveston","R - Galveston",1309237,NA,76,46,30,572,48,867
2020-04-12,"S","Victoria","S - Victoria",186672,NA,16,12,4,277,30,254
2020-04-12,"T","Laredo","T - Laredo",295669,NA,25,13,12,100,15,255
2020-04-12,"U","Corpus Christi","U - Corpus Christi",630897,NA,9,4,5,360,21,785
2020-04-12,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,57,39,18,881,108,1219
2020-04-13,"A","Amarillo","A - Amarillo",440127,NA,17,12,5,251,78,427
2020-04-13,"B","Lubbock","B - Lubbock",513580,NA,35,23,12,628,89,744
2020-04-13,"C","Wichita Falls","C - Wichita Falls",219793,NA,5,5,0,366,18,223
2020-04-13,"D","Abilene","D - Abilene",306972,NA,7,4,3,478,36,146
2020-04-13,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,365,109,256,5223,603,8219
2020-04-13,"F","Paris","F - Paris",273329,NA,16,5,11,NA,32,405
2020-04-13,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,26,13,13,734,103,932
