Level_Type,Level,Date,Rt,lower,upper,result_success
County,Bexar,2020-03-24,2.3714328,1.75,3.0138888,1.0
County,Bexar,2020-03-25,1.8412513,1.1666666,2.5277777,1.0
County,Bexar,2020-03-26,1.6527493,0.9722222,2.3333333,1.0
County,Bexar,2020-03-27,1.5759094,0.875,2.3333333,1.0
County,Bexar,2020-03-28,1.5616283,0.7777778,2.2361112,1.0
County,Bexar,2020-03-29,1.5999893,0.9722222,2.2361112,1.0
County,Bexar,2020-03-30,1.7137653,1.0670139,2.5277777,1.0
County,Bexar,2020-03-31,1.5233433,1.0447761,2.0373135,1.0
County,Bexar,2020-04-01,1.4423127,0.9402985,1.9328358,1.0
County,Bexar,2020-04-02,1.4110633,0.9402985,1.9328358,1.0
County,Bexar,2020-04-03,1.4141576,0.8880597,1.880597,1.0
County,Bexar,2020-04-04,1.449216,0.9402985,1.9328358,1.0
County,Bexar,2020-04-05,1.5244055,1.0447761,2.0373135,1.0
County,Bexar,2020-04-06,1.6775428,1.2001866,2.2462687,1.0
County,Bexar,2020-04-07,1.4256369,1.1077441,1.7441077,1.0
County,Bexar,2020-04-08,1.3021072,0.989899,1.6026936,1.0
County,Bexar,2020-04-09,1.226071,0.9191919,1.5084175,1.0
County,Bexar,2020-04-10,1.1748301,0.87205386,1.4377104,1.0
County,Bexar,2020-04-11,1.1388049,0.8484849,1.4377104,1.0
County,Bexar,2020-04-12,1.1133981,0.8249158,1.3905724,1.0
County,Bexar,2020-04-13,1.097323,0.8013468,1.3905724,1.0
County,Bexar,2020-04-14,1.0688087,0.7852564,1.3461539,1.0
County,Bexar,2020-04-15,1.045531,0.76282054,1.323718,1.0
County,Bexar,2020-04-16,1.0250553,0.74038464,1.301282,1.0
County,Bexar,2020-04-17,1.0056674,0.71794873,1.2564102,1.0
County,Bexar,2020-04-18,0.9857297,0.71794873,1.2564102,1.0
County,Bexar,2020-04-19,0.96297246,0.6730769,1.2115384,1.0
County,Bexar,2020-04-20,0.9318645,0.6730769,1.1891025,1.0
County,Bexar,2020-04-21,0.94519,0.6603774,1.2150943,1.0
County,Bexar,2020-04-22,0.95409954,0.6603774,1.2415094,1.0
County,Bexar,2020-04-23,0.96005803,0.6603774,1.2415094,1.0
County,Bexar,2020-04-24,0.963475,0.6603774,1.2415094,1.0
County,Bexar,2020-04-25,0.9642307,0.6861321,1.2679245,1.0
County,Bexar,2020-04-26,0.96136653,0.68679243,1.2415094,1.0
County,Bexar,2020-04-27,0.950889,0.6603774,1.2415094,1.0
County,Bexar,2020-04-28,0.9807999,0.6475771,1.2951542,1.0
County,Bexar,2020-04-29,1.009497,0.7092511,1.3259912,1.0
County,Bexar,2020-04-30,1.0395063,0.7400881,1.3568282,1.0
County,Bexar,2020-05-01,1.0731573,0.7400881,1.3876652,1.0
County,Bexar,2020-05-02,1.1137952,0.8009912,1.4185022,1.0
County,Bexar,2020-05-03,1.1676924,0.8017621,1.4809471,1.0
County,Bexar,2020-05-04,1.2536502,0.8634361,1.6042951,1.0
County,Bexar,2020-05-05,1.1642032,0.90763515,1.418919,1.0
County,Bexar,2020-05-06,1.1059952,0.83243245,1.3243244,1.0
County,Bexar,2020-05-07,1.061102,0.77567565,1.3243244,1.0
County,Bexar,2020-05-08,1.0222229,0.77567565,1.2486486,1.0
County,Bexar,2020-05-09,0.9845639,0.73783785,1.1918919,1.0
County,Bexar,2020-05-10,0.94301724,0.7,1.1729729,1.0
County,Bexar,2020-05-11,0.886544,0.64324325,1.1351352,1.0
County,Bexar,2020-05-12,0.9179139,0.6339623,1.1886792,1.0
County,Bexar,2020-05-13,0.9439306,0.6603774,1.1886792,1.0
County,Bexar,2020-05-14,0.96747243,0.6861321,1.2679245,1.0
County,Bexar,2020-05-15,0.99031067,0.68679243,1.2943397,1.0
County,Bexar,2020-05-16,1.0143539,0.71320754,1.2943397,1.0
County,Bexar,2020-05-17,1.0426103,0.73962265,1.3471698,1.0
County,Bexar,2020-05-18,1.0833175,0.7924528,1.4,1.0
County,Bexar,2020-05-19,1.0500442,0.7708333,1.3333334,1.0
County,Bexar,2020-05-20,1.024573,0.7708333,1.3125,1.0
County,Bexar,2020-05-21,1.0017127,0.75,1.25,1.0
County,Bexar,2020-05-22,0.9785655,0.7083333,1.25,1.0
