Date,County,Doses_Allocated,Doses_Administered,Fully_Vaccinated,Population_16,Population_65,Doses_Allocated_Per_16,Doses_Allocated_Per_65,Doses_Administered_Per_16,Doses_Administered_Per_65,Fully_Vaccinated_Per_16,Fully_Vaccinated_Per_65
2021-01-12,Anderson,4700,879,16,49346,8955,0.09524581526364852,0.5248464544946957,0.01781299396101001,0.09815745393634841,3.242410732379524e-4,0.0017867113344500279
2021-01-12,Andrews,1100,639,20,13954,1905,0.07883044288376093,0.5774278215223098,0.04579332091156658,0.3354330708661417,0.0014332807797047442,0.010498687664041995
2021-01-12,Angelina,11200,3471,11,70388,14706,0.1591180314826391,0.761593907248742,0.04931238279252145,0.23602611179110566,1.5627663806330624e-4,7.479940160478716e-4
2021-01-12,Aransas,500,489,20,19727,6538,0.025345972524965784,0.07647598654022637,0.024788361129416535,0.07479351483634139,0.0010138389009986314,0.0030590394616090547
2021-01-12,Archer,300,291,28,7533,1887,0.039824771007566706,0.1589825119236884,0.038630027877339705,0.15421303656597773,0.0037169786273728925,0.01483836777954425
2021-01-12,Armstrong,200,144,6,1693,588,0.11813349084465447,0.3401360544217687,0.08505611340815121,0.24489795918367346,0.0035440047253396337,0.01020408163265306
2021-01-12,Atascosa,2700,1197,91,39065,7743,0.0691155766030974,0.3487020534676482,0.030641238960706516,0.1545912437039907,0.002329450915141431,0.011752550690946661
2021-01-12,Austin,1300,860,26,25584,6512,0.0508130081300813,0.19963144963144963,0.033614759224515324,0.13206388206388206,0.0010162601626016261,0.003992628992628993
2021-01-12,Bailey,500,141,2,5190,1024,0.09633911368015415,0.48828125,0.02716763005780347,0.1376953125,3.853564547206166e-4,0.001953125
2021-01-12,Bandera,200,567,25,19833,6530,0.01008420309585035,0.030627871362940276,0.028588715776735742,0.08683001531393568,0.0012605253869812938,0.0038284839203675345
2021-01-12,Bastrop,1700,1580,108,70499,14746,0.024113817217265493,0.115285501152855,0.022411665413693813,0.10714770107147702,0.0015319366232145137,0.007324020073240201
2021-01-12,Baylor,600,341,3,3002,916,0.19986675549633579,0.6550218340611353,0.11359093937375084,0.3722707423580786,9.99333777481679e-4,0.0032751091703056767
2021-01-12,Bee,1500,698,42,26904,4202,0.05575379125780553,0.3569728700618753,0.025944097531965506,0.1661113755354593,0.0015611061552185548,0.009995240361732508
2021-01-12,Bell,23200,6812,980,265191,37371,0.08748411522261314,0.6208022263252254,0.025687146245536235,0.18228037783307913,0.0036954496947483135,0.026223542318910387
2021-01-12,Bexar,194575,70492,10710,1541803,248261,0.12619965066873004,0.7837517773633393,0.04572049736574647,0.28394310826106395,0.006946412738851851,0.04314008241326668
2021-01-12,Blanco,300,220,12,10177,3274,0.029478235236317187,0.0916310323762981,0.021617372506632603,0.06719609040928527,0.0011791294094526874,0.0036652412950519244
2021-01-12,Borden,0,15,0,580,206,0,0,0.02586206896551724,0.07281553398058252,0,0
2021-01-12,Bosque,1900,496,14,15491,4847,0.1226518623716997,0.3919950484835981,0.03201859144019108,0.10233133897256035,9.037505648441031e-4,0.0028883845677738808
2021-01-12,Bowie,7875,1831,123,78179,16917,0.10073037516468616,0.46550806880652595,0.023420611673211477,0.10823432050599988,0.0015733125263817649,0.0072707926937400245
2021-01-12,Brazoria,11400,11958,1802,295635,48145,0.038561063473540005,0.2367847128466092,0.04044852605408696,0.24837470142278534,0.006095354068361324,0.03742860110084121
2021-01-12,Brazos,13950,3243,296,185835,21605,0.07506659133101945,0.6456838694746586,0.017450964565340222,0.15010414255959267,0.001592810826808728,0.013700532284193474
2021-01-12,Brewster,1000,355,3,7291,1942,0.1371553970648745,0.5149330587023687,0.04869016595803045,0.18280123583934088,4.114661911946235e-4,0.001544799176107106
2021-01-12,Briscoe,100,113,1,1295,443,0.07722007722007722,0.22573363431151242,0.08725868725868725,0.255079006772009,7.722007722007722e-4,0.002257336343115124
2021-01-12,Brooks,300,136,0,5438,1441,0.055167340934166975,0.2081887578070784,0.02500919455682236,0.09437890353920889,0,0
2021-01-12,Brown,1500,737,21,31586,8452,0.04748939403533211,0.17747278750591575,0.02333312226935984,0.08719829626123994,6.648515164946495e-4,0.0024846190250828208
2021-01-12,Burleson,500,332,7,14721,3981,0.033965083893757214,0.12559658377292138,0.022552815705454792,0.08339613162521979,4.7551117451260106e-4,0.0017583521728208992
2021-01-12,Burnet,2800,874,32,39423,11162,0.07102452882834893,0.250851101953055,0.02216979935570606,0.07830137968106074,8.117089008954164e-4,0.002866869736606343
2021-01-12,Caldwell,1200,779,32,33813,6558,0.03548930884571023,0.18298261665141813,0.023038476325673556,0.1187862153095456,9.463815692189395e-4,0.004879536444037816
2021-01-12,Calhoun,1000,595,25,17169,3944,0.058244510454889625,0.2535496957403651,0.034655483720659325,0.15086206896551724,0.0014561127613722407,0.006338742393509128
2021-01-12,Callahan,500,402,102,11666,3185,0.04285959197668438,0.15698587127158556,0.034459111949254245,0.1262166405023548,0.008743356763243613,0.032025117739403454
