County,Age_Group,Vaccination_Type,Doses_Administered,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Population_Total
Anderson,6 months-4 years,all,20,12,3,0,2068
Anderson,5-11 years,all,512,279,218,15,4244
Anderson,12-15 years,all,1103,568,476,52,2512
Anderson,16-49 years,all,26930,12889,11197,3472,29366
Anderson,50-64 years,all,18150,7525,6853,3398,10641
Anderson,65-79 years,all,13943,5260,4801,2948,7018
Anderson,80+ years,all,4083,1484,1368,899,1704
Andrews,6 months-4 years,all,40,24,6,0,1069
Andrews,5-11 years,all,596,327,254,13,2330
Andrews,12-15 years,all,876,431,373,63,1266
Andrews,16-49 years,all,9740,4647,4057,1046,8532
Andrews,50-64 years,all,5685,2337,2146,1016,2920
Andrews,65-79 years,all,3636,1295,1201,806,1419
Andrews,80+ years,all,1148,395,368,268,400
Angelina,6 months-4 years,all,81,40,18,0,3860
Angelina,5-11 years,all,1705,948,687,67,8767
Angelina,12-15 years,all,3430,1756,1494,165,5132
Angelina,16-49 years,all,38841,19063,16379,4185,36425
Angelina,50-64 years,all,28581,11682,10697,5160,15998
Angelina,65-79 years,all,27511,9324,8761,5977,11309
Angelina,80+ years,all,8625,2811,2625,1896,3302
Angelina,Unknown,all,10,8,2,0,
Aransas,6 months-4 years,all,21,12,5,0,809
Aransas,5-11 years,all,430,236,163,27,1789
Aransas,12-15 years,all,877,449,379,46,1042
Aransas,16-49 years,all,9170,4573,3764,973,8324
Aransas,50-64 years,all,11276,4662,4119,1962,5495
Aransas,65-79 years,all,14679,5081,4659,3017,5218
Aransas,80+ years,all,4310,1409,1286,935,1498
Aransas,Unknown,all,6,4,2,0,
Archer,6 months-4 years,all,1,1,,0,328
Archer,5-11 years,all,119,61,51,7,773
Archer,12-15 years,all,264,133,122,9,456
Archer,16-49 years,all,3481,1725,1561,333,3255
Archer,50-64 years,all,2994,1280,1191,495,1937
Archer,65-79 years,all,3139,1080,1026,688,1370
Archer,80+ years,all,993,332,326,229,413
Armstrong,5-11 years,all,17,8,7,2,170
Armstrong,12-15 years,all,18,9,8,1,91
Armstrong,16-49 years,all,489,251,214,44,696
Armstrong,50-64 years,all,520,229,199,86,364
Armstrong,65-79 years,all,705,252,234,146,339
Armstrong,80+ years,all,211,76,72,42,81
Armstrong,Unknown,all,1,1,,0,
Atascosa,6 months-4 years,all,105,59,21,0,2387
Atascosa,5-11 years,all,1897,1027,773,89,5406
Atascosa,12-15 years,all,3215,1604,1348,239,3174
Atascosa,16-49 years,all,27165,13389,11300,2885,21828
Atascosa,50-64 years,all,18982,7629,6821,3499,8723
Atascosa,65-79 years,all,15180,5288,4773,3203,5800
Atascosa,80+ years,all,3769,1320,1157,798,1609
Atascosa,Unknown,all,2,2,,0,
Austin,6 months-4 years,all,89,52,13,0,1189
Austin,5-11 years,all,692,357,285,45,2875
Austin,12-15 years,all,1217,635,506,68,1723
Austin,16-49 years,all,12855,6529,5444,1400,11688
Austin,50-64 years,all,10339,4512,4000,1859,6089
Austin,65-79 years,all,11603,4130,3837,2503,4997
Austin,80+ years,all,3277,1140,1065,727,1307
Austin,Unknown,all,3,3,,0,
Bailey,6 months-4 years,all,4,3,1,0,430
Bailey,5-11 years,all,131,80,47,4,743
Bailey,12-15 years,all,259,154,99,5,462
Bailey,16-49 years,all,2708,1411,1120,280,2865
Bailey,50-64 years,all,1829,810,710,296,1088
Bailey,65-79 years,all,1580,588,540,336,790
Bailey,80+ years,all,577,212,196,119,266
Bailey,Unknown,all,3,2,1,0,
Bandera,6 months-4 years,all,13,6,4,0,637
Bandera,5-11 years,all,359,196,142,20,1475
Bandera,12-15 years,all,577,294,233,44,876
Bandera,16-49 years,all,6772,3357,2854,800,6809
Bandera,50-64 years,all,8212,3442,3073,1439,5271
