County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
Anderson,Asian,all,233,198,532,92,421
Anderson,Black,all,5339,4845,12708,2261,12437
Anderson,Hispanic,all,2873,2464,6122,807,11002
Anderson,Other,all,5204,4627,12364,2061,4498
Anderson,Unknown,all,747,530,1266,79,
Anderson,White,all,13621,12252,31749,5484,33349
Andrews,Asian,all,71,64,178,28,103
Andrews,Black,all,81,75,205,35,251
Andrews,Hispanic,all,5011,4448,11476,1628,10777
Andrews,Other,all,367,323,877,153,1391
Andrews,Unknown,all,521,435,983,121,
Andrews,White,all,3405,3060,8002,1247,7008
Angelina,Asian,all,436,378,1101,208,813
Angelina,Black,all,5267,4703,13067,2328,12863
Angelina,Hispanic,all,9622,8466,21463,2993,20235
Angelina,Other,all,7681,6805,18476,2713,5286
Angelina,Unknown,all,2845,2253,5581,578,
Angelina,White,all,19781,18058,49096,8630,51188
Aransas,Asian,all,261,230,590,86,442
Aransas,Black,all,113,93,258,38,353
Aransas,Hispanic,all,3085,2573,6902,984,7231
Aransas,Other,all,3588,3303,10115,2011,2119
Aransas,Unknown,all,385,291,737,49,
Aransas,White,all,8994,7887,22167,3792,15953
Archer,Asian,all,11,9,21,2,44
Archer,Black,all,21,18,39,3,83
Archer,Hispanic,all,333,303,717,100,764
Archer,Other,all,949,895,2391,405,729
Archer,Unknown,all,288,251,635,79,
Archer,White,all,3010,2801,7188,1172,7568
Armstrong,Asian,all,4,4,12,4,1
Armstrong,Black,all,4,4,8,1,19
Armstrong,Hispanic,all,67,57,144,20,215
Armstrong,Other,all,117,106,268,32,122
Armstrong,Unknown,all,45,36,85,6,
Armstrong,White,all,589,527,1444,258,1556
Atascosa,Asian,all,111,100,266,49,231
Atascosa,Black,all,159,131,339,42,457
Atascosa,Hispanic,all,13338,11552,30074,4245,33074
Atascosa,Other,all,7090,6157,17796,3135,3365
Atascosa,Unknown,all,844,592,1513,97,
Atascosa,White,all,8776,7661,20327,3145,15576
Austin,Asian,all,129,106,273,44,247
Austin,Black,all,1034,889,2284,396,2603
Austin,Hispanic,all,4530,3756,9450,1264,8715
Austin,Other,all,2940,2694,7842,1545,2000
Austin,Unknown,all,709,505,1183,95,
Austin,White,all,8016,7200,19043,3258,18333
Bailey,Asian,all,16,14,37,8,46
Bailey,Black,all,10,10,22,2,71
Bailey,Hispanic,all,1547,1212,3159,421,4438
Bailey,Other,all,203,167,473,88,621
Bailey,Unknown,all,672,612,1500,188,
Bailey,White,all,812,699,1900,333,2195
Bandera,Asian,all,47,42,106,15,134
Bandera,Black,all,67,58,132,13,256
Bandera,Hispanic,all,1660,1417,3839,609,4589
Bandera,Other,all,3006,2708,8188,1594,1787
Bandera,Unknown,all,954,789,2008,281,
Bandera,White,all,6271,5494,15059,2612,16108
Bastrop,Asian,all,427,375,1020,185,789
Bastrop,Black,all,2071,1721,4732,758,6410
Bastrop,Hispanic,all,21546,17258,45385,5555,43198
Bastrop,Other,all,18648,16812,50626,9433,10318
Bastrop,Unknown,all,3058,1937,5336,382,
Bastrop,White,all,17996,15379,42154,6765,49588
Baylor,Asian,all,10,9,28,5,11
Baylor,Black,all,22,19,54,9,91
Baylor,Hispanic,all,152,126,354,66,502
Baylor,Other,all,111,100,264,39,380
Baylor,Unknown,all,210,196,422,17,
Baylor,White,all,1120,1019,2667,428,2774
Bee,Asian,all,125,101,276,41,201
Bee,Black,all,1074,981,2606,482,2625
Bee,Hispanic,all,7127,6087,16587,2588,18488
Bee,Other,all,4757,3768,10903,1773,1922
Bee,Unknown,all,1560,1236,3058,230,
Bee,White,all,5339,4723,12758,2106,9251
Bell,Asian,all,5789,4706,13221,2154,10964
Bell,Black,all,31101,25462,67664,9091,84555
Bell,Hispanic,all,36546,30527,79539,10439,100457
Bell,Other,all,40923,36128,102072,17050,70623
Bell,Unknown,all,8927,6076,15806,963,
Bell,White,all,71305,62601,170735,27748,165003
Bexar,Asian,all,34026,28304,79282,13739,61545
Bexar,Black,all,60024,50003,136741,20696,152999
Bexar,Hispanic,all,692218,574359,1581089,241094,1243607
Bexar,Other,all,392558,341173,1016134,188513,212058
Bexar,Unknown,all,55710,35598,96559,7323,
Bexar,White,all,367992,313546,873157,146076,530207
Blanco,Asian,all,24,16,51,8,99
Blanco,Black,all,28,24,66,10,142
Blanco,Hispanic,all,986,844,2156,269,2430
Blanco,Other,all,1537,1408,4451,880,899
Blanco,Unknown,all,154,113,281,22,
Blanco,White,all,4376,3931,11028,1945,8980
Borden,Asian,all,1,1,1,0,1
Borden,Black,all,1,,1,0,5
Borden,Hispanic,all,37,27,64,7,116
Borden,Other,all,44,41,113,15,73
Borden,Unknown,all,7,6,16,3,
Borden,White,all,137,126,290,39,482
Bosque,Asian,all,33,26,72,12,104
Bosque,Black,all,119,108,288,53,358
Bosque,Hispanic,all,1171,1006,2564,339,3668
Bosque,Other,all,1535,1418,4179,850,1258
Bosque,Unknown,all,887,679,1836,238,
Bosque,White,all,5958,5458,14753,2623,14016
Bowie,Asian,all,578,505,1353,226,1119
Bowie,Black,all,8200,6861,18273,2801,23551
Bowie,Hispanic,all,3181,2665,6671,758,7795
Bowie,Other,all,4711,4219,11490,1888,9370
Bowie,Unknown,all,1926,1129,3049,180,
Bowie,White,all,21579,18823,48608,7468,57329
Brazoria,Asian,all,17170,15000,41507,7858,26750
Brazoria,Black,all,31892,28485,78759,14112,58472
Brazoria,Hispanic,all,63290,54997,142964,20868,122736
Brazoria,Other,all,62676,58120,169863,33330,32102
Brazoria,Unknown,all,6234,4483,11448,1086,
Brazoria,White,all,73942,66735,175183,28928,163875
Brazos,Asian,all,8617,7307,20292,3617,13713
Brazos,Black,all,10071,8725,22619,3407,25640
Brazos,Hispanic,all,28179,23968,61262,7978,63915
Brazos,Other,all,28051,25616,74695,13861,19678
Brazos,Unknown,all,5122,3076,8534,579,
Brazos,White,all,59633,52719,139731,21727,129054
Brewster,Asian,all,43,37,99,16,138
Brewster,Black,all,43,34,88,11,152
Brewster,Hispanic,all,2349,1950,5314,845,4285
Brewster,Other,all,750,610,1996,395,988
Brewster,Unknown,all,499,359,999,115,
Brewster,White,all,2460,2198,6228,1144,4646
Briscoe,Black,all,13,13,39,9,54
Briscoe,Hispanic,all,156,136,360,61,379
Briscoe,Other,all,112,101,332,67,174
Briscoe,Unknown,all,10,5,16,1,
Briscoe,White,all,425,390,1154,229,918
Brooks,Asian,all,9,7,19,3,62
Brooks,Black,all,7,4,11,0,45
Brooks,Hispanic,all,30106,5383,36662,1205,6364
Brooks,Other,all,741,648,2074,441,226
Brooks,Unknown,all,1089,96,1188,3,
Brooks,White,all,1408,1221,3418,557,478
Brown,Asian,all,129,115,270,45,257
Brown,Black,all,514,471,1123,195,1381
Brown,Hispanic,all,3316,2892,6906,932,9110
Brown,Other,all,3616,3229,8449,1551,2656
Brown,Unknown,all,1550,1346,2687,282,
Brown,White,all,9021,8168,19836,3317,26710
Burleson,Asian,all,53,52,135,25,96
Burleson,Black,all,972,899,2387,443,2065
Burleson,Hispanic,all,1654,1466,3714,574,3954
Burleson,Other,all,1324,1215,3544,660,1468
Burleson,Unknown,all,575,414,976,68,
Burleson,White,all,5481,5067,13343,2298,11565
Burnet,Asian,all,248,214,568,93,475
Burnet,Black,all,373,318,807,115,893
Burnet,Hispanic,all,4202,3570,8980,1129,11712
Burnet,Other,all,7341,6759,20466,3952,3486
Burnet,Unknown,all,909,654,1604,130,
Burnet,White,all,16727,15082,41609,7323,36975
Caldwell,Asian,all,119,105,289,59,418
Caldwell,Black,all,881,798,2168,369,2555
Caldwell,Hispanic,all,12127,10069,26790,3867,25972
Caldwell,Other,all,5732,5021,14592,2572,3861
Caldwell,Unknown,all,1990,1481,3658,361,
Caldwell,White,all,8798,7806,21493,3754,17218
Calhoun,Asian,all,731,664,1627,302,1035
Calhoun,Black,all,190,157,460,82,469
Calhoun,Hispanic,all,5428,4734,12318,1806,9956
Calhoun,Other,all,1621,1497,4134,801,1220
Calhoun,Unknown,all,465,309,813,77,
Calhoun,White,all,4699,4180,11438,2017,8032
Callahan,Asian,all,39,35,86,15,99
Callahan,Black,all,29,17,51,4,232
Callahan,Hispanic,all,490,428,1102,156,1568
Callahan,Other,all,614,561,1579,263,1204
Callahan,Unknown,all,372,321,779,79,
Callahan,White,all,4453,4029,10634,1820,11862
Cameron,Asian,all,1077,896,2392,423,2804
Cameron,Black,all,728,605,1374,184,1917
Cameron,Hispanic,all,337265,262592,739979,113821,380826
Cameron,Other,all,43532,34290,106016,19569,11694
Cameron,Unknown,all,48374,15466,69798,4765,
Cameron,White,all,56639,43859,127064,20539,35893
Camp,Asian,all,57,48,133,23,123
Camp,Black,all,885,748,2122,381,1872
Camp,Hispanic,all,1538,1258,3095,306,3407
Camp,Other,all,905,828,2384,423,1347
Camp,Unknown,all,172,132,323,23,
Camp,White,all,3094,2719,7422,1244,6862
Carson,Asian,all,18,16,45,10,34
Carson,Black,all,7,6,16,3,78
Carson,Hispanic,all,220,180,476,60,626
Carson,Other,all,296,264,746,130,529
Carson,Unknown,all,133,106,267,30,
Carson,White,all,1705,1525,4066,643,4822
Cass,Asian,all,59,48,122,14,184
Cass,Black,all,1827,1581,4177,691,4695
Cass,Hispanic,all,736,621,1649,237,1613
Cass,Other,all,1765,1637,4492,743,2109
Cass,Unknown,all,499,290,776,52,
Cass,White,all,7322,6490,16720,2788,21427
Castro,Asian,all,10,10,25,5,46
Castro,Black,all,41,38,98,18,140
Castro,Hispanic,all,2484,2053,5361,790,4898
Castro,Other,all,223,184,501,69,491
Castro,Unknown,all,172,124,311,20,
Castro,White,all,994,890,2492,461,2213
Chambers,Asian,all,434,389,1027,188,656
Chambers,Black,all,1791,1587,4276,727,3799
Chambers,Hispanic,all,5411,4623,11774,1528,12843
Chambers,Other,all,4206,3855,10600,1805,3192
Chambers,Unknown,all,633,475,1162,89,
Chambers,White,all,12805,11473,29179,4334,30791
Cherokee,Asian,all,130,109,294,54,254
Cherokee,Black,all,2764,2464,6637,1213,6905
Cherokee,Hispanic,all,5559,4759,11512,1299,12548
Cherokee,Other,all,3476,3156,8786,1567,4761
Cherokee,Unknown,all,854,692,1647,192,
Cherokee,White,all,11852,10682,28165,4845,30359
Childress,Asian,all,42,38,100,22,61
Childress,Black,all,408,394,926,197,755
Childress,Hispanic,all,697,633,1471,229,2162
Childress,Other,all,633,579,1421,298,500
Childress,Unknown,all,102,75,179,6,
Childress,White,all,2176,2022,5011,917,3610
Clay,Asian,all,23,22,52,9,74
Clay,Black,all,23,22,50,7,111
Clay,Hispanic,all,259,235,603,95,748
Clay,Other,all,950,882,2501,497,1070
Clay,Unknown,all,189,154,356,22,
Clay,White,all,3568,3273,8462,1386,9015
