Gender,Age_Group,Race/Ethnicity,Doses_Administered,At_Least_One_Vaccinated,Fully_Vaccinated,Booster,State_Race_Total,State_Gender_Total,State_Age_Total,Doses_Administered_Per_Race,Doses_Administered_Per_Gender,Doses_Administered_Per_Age,At_Least_One_Vaccinated_Per_Race,At_Least_One_Vaccinated_Per_Gender,At_Least_One_Vaccinated_Per_Age,Fully_Vaccinated_Per_Race,Fully_Vaccinated_Per_Gender,Fully_Vaccinated_Per_Age,Booster_Per_Race,Booster_Per_Gender,Booster_Per_Age,Date
Female,6 months-4 years,Asian,16734,8215,4336,0,1457549,14593179,,0.0114809176226665,0.00114670011242924,,0.00563617415263569,0.000562934231122636,,0.00297485710600467,0.000297125115781832,,0,0,,2023-04-26
Female,6 months-4 years,Black,8207,4404,1631,0,3501610,14593179,,0.00234377900451507,0.000562386029802005,,0.00125770716898798,0.000301784827007193,,0.000465785738560262,0.000111764544243581,,0,0,,2023-04-26
Female,6 months-4 years,Hispanic,63908,36898,10713,0,11525578,14593179,,0.00554488460361815,0.00437930624985824,,0.00320140126594953,0.00252844154107888,,0.000929497852515509,0.000734110093489568,,0,0,,2023-04-26
Female,6 months-4 years,Other,8341,4357,1862,0,2414852,14593179,,0.00345404190401731,0.000571568401922569,,0.00180425135784719,0.000298564144248488,,0.000771061746227098,0.000127593857376792,,0,0,,2023-04-26
Female,6 months-4 years,Unknown,8487,6906,870,0,,14593179,,,0.000581573076024079,,,0.00047323479003444,,,5.96168936185871e-05,,,0,,2023-04-26
Female,6 months-4 years,White,37375,18817,10320,0,11950774,14593179,,0.0031274125006464,0.00256112804482149,,0.00157454236855287,0.00128943803128845,,0.000863542394827314,0.000707179703613586,,0,0,,2023-04-26
Female,5-11 years,Asian,67247,32838,27689,5895,1457549,14593179,2914821,0.0461370423910277,0.00460811177605647,0.0230707134331748,0.0225296027783629,0.00225022937085881,0.0112658719008817,0.0189969599649823,0.00189739329586788,0.0094993826379047,0.00404446094093578,0.000403955848139737,0.00202242264619337,2023-04-26
Female,5-11 years,Black,53563,27955,21770,3407,3501610,14593179,2914821,0.0152966778139199,0.00367041341711768,0.0183760855297804,0.00798347046073092,0.00191562098977886,0.00959064038580757,0.00621714011554685,0.00149179284376626,0.00746872620994565,0.000972981000168494,0.000233465237423594,0.00116885393648529,2023-04-26
Female,5-11 years,Hispanic,595234,341653,217192,32640,11525578,14593179,2914821,0.0516446116628598,0.0407885081105357,0.204209452312852,0.0296430252782116,0.0234118282246795,0.117212343399475,0.0188443477628627,0.0148831176538025,0.0745129803854165,0.00283196209335445,0.0022366613881732,0.0111979432013149,2023-04-26
Female,5-11 years,Other,217429,107528,86785,19848,2414852,14593179,2914821,0.0900382300861502,0.0148993581179262,0.0745942889803525,0.044527780584483,0.00736837395059706,0.0368900869041358,0.0359380202182163,0.00594695645136677,0.0297736979389129,0.00821913723905233,0.00136008747648473,0.00680933752021136,2023-04-26
Female,5-11 years,Unknown,37147,25343,10675,1011,,14593179,2914821,,0.00254550430718351,0.0127441788020602,,0.00173663325859294,0.00869453047031018,,0.000731506137216572,0.00366231751452319,,6.9278941894703e-05,0.000346848056878964,2023-04-26
Female,5-11 years,White,161760,80321,64505,14440,11950774,14593179,2914821,0.0135355249793863,0.0110846307031525,0.0554956891006343,0.00672098727663999,0.00550400978429717,0.027556066050025,0.00539755835061394,0.0044202157734103,0.0221300038664467,0.00120828994004907,0.000989503383738389,0.0049539920290131,2023-04-26
Female,12-15 years,Asian,54791,24438,21584,7658,1457549,14593179,1672470,0.0375911890440733,0.00375456231983449,0.032760527842054,0.0167665032187597,0.00167461798419659,0.014611921290068,0.0148084215350565,0.00147904716306159,0.0129054631772169,0.00525402576517153,0.000524765714173725,0.00457885642193881,2023-04-26
Female,12-15 years,Black,77880,38541,32064,6441,3501610,14593179,1672470,0.0222411976205231,0.00533673985633973,0.0465658576835459,0.0110066512261503,0.00264102838730341,0.0230443595400814,0.0091569306690351,0.00219719089308779,0.0191716443344275,0.00183943957208256,0.000441370588272781,0.00385119015587724,2023-04-26
Female,12-15 years,Hispanic,655400,341194,254997,53237,11525578,14593179,1672470,0.0568648270828587,0.044911393192669,0.391875489545403,0.0296032008112738,0.0233803751739083,0.204006050930659,0.0221244435636981,0.0174737115196079,0.152467308830652,0.00461903081997276,0.00364807421330198,0.0318313631933607,2023-04-26
Female,12-15 years,Other,279289,128997,112283,32010,2414852,14593179,1672470,0.115654706789484,0.019138324829703,0.166991934085514,0.0534181804930489,0.00883954071967458,0.07712963461228,0.0464968453553261,0.00769421111054692,0.0671360323354081,0.0132554707286409,0.00219349053417353,0.0191393567597625,2023-04-26
Female,12-15 years,Unknown,23525,14860,7570,1026,,14593179,1672470,,0.00161205450847961,0.0140660221110095,,0.0010182839530715,0.00888506221337304,,0.000518735499646787,0.00452623963359582,,7.03068193708855e-05,0.000613463918635312,2023-04-26
