"Level","current_ratio","current_ratio_cat","Level_Type"
"Anderson",0.9,"(0.5,0.9]","County"
"Andrews",1.02325581395349,"(0.9,1.1]","County"
"Angelina",2.34126984126984,"(2,4]","County"
"Aransas",1.23809523809524,"(1.1,1.5]","County"
"Archer",NA,NA,"County"
"Armstrong",NA,NA,"County"
"Atascosa",1.44444444444444,"(1.1,1.5]","County"
"Austin",0.613636363636364,"(0.5,0.9]","County"
"Bailey",0.6,"(0.5,0.9]","County"
"Bandera",1.27272727272727,"(1.1,1.5]","County"
"Bastrop",1.08955223880597,"(0.9,1.1]","County"
"Baylor",NA,NA,"County"
"Bee",0.488095238095238,"(0,0.5]","County"
"Bell",1.37336244541485,"(1.1,1.5]","County"
"Bexar",0.28121298270552,"(0,0.5]","County"
"Blanco",0.80952380952381,"(0.5,0.9]","County"
"Borden",NA,NA,"County"
"Bosque",0.476190476190476,"(0,0.5]","County"
"Bowie",2.71875,"(2,4]","County"
"Brazoria",1.47457627118644,"(1.1,1.5]","County"
"Brazos",0.859618717504333,"(0.5,0.9]","County"
"Brewster",NA,NA,"County"
"Briscoe",NA,NA,"County"
"Brooks",1.04347826086957,"(0.9,1.1]","County"
"Brown",1.29577464788732,"(1.1,1.5]","County"
"Burleson",0.617021276595745,"(0.5,0.9]","County"
"Burnet",0.972972972972973,"(0.9,1.1]","County"
"Caldwell",0.945812807881773,"(0.9,1.1]","County"
"Calhoun",1.78125,"(1.5,2]","County"
"Callahan",NA,NA,"County"
"Cameron",2.92622950819672,"(2,4]","County"
"Camp",2.2,"(2,4]","County"
"Carson",NA,NA,"County"
"Cass",NA,NA,"County"
"Castro",1.47058823529412,"(1.1,1.5]","County"
"Chambers",1.22962962962963,"(1.1,1.5]","County"
"Cherokee",1.34210526315789,"(1.1,1.5]","County"
"Childress",NA,NA,"County"
"Clay",NA,NA,"County"
"Cochran",NA,NA,"County"
"Coke",NA,NA,"County"
"Coleman",NA,NA,"County"
"Collin",1.18225419664269,"(1.1,1.5]","County"
"Collingsworth",NA,NA,"County"
"Colorado",0.791666666666667,"(0.5,0.9]","County"
"Comal",1.29203539823009,"(1.1,1.5]","County"
"Comanche",NA,NA,"County"
"Concho",NA,NA,"County"
"Cooke",0.6,"(0.5,0.9]","County"
"Coryell",3.14285714285714,"(2,4]","County"
"Cottle",NA,NA,"County"
"Crane",NA,NA,"County"
"Crockett",NA,NA,"County"
"Crosby",NA,NA,"County"
"Culberson",NA,NA,"County"
"Dallam",2.30769230769231,"(2,4]","County"
"Dallas",1.07295960428689,"(0.9,1.1]","County"
