"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Cases_Daily_NO_NEGATIVE","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Deaths_Daily_NO_NEGATIVE"
2020-05-21,"Age","1-9 years",169,0.0116906474820144,169,169,0,0,0,0
2020-05-21,"Age","10-19 years",432,0.0298837852794687,432,432,2,0.00408997955010225,2,2
2020-05-21,"Age","20-29 years",2244,0.155229662423907,2244,2244,10,0.0204498977505112,10,10
2020-05-21,"Age","30-39 years",2629,0.181862202545656,2629,2629,9,0.0184049079754601,9,9
2020-05-21,"Age","40-49 years",2698,0.186635307138904,2698,2698,21,0.0429447852760736,21,21
2020-05-21,"Age","50-59 years",2660,0.184006640841173,2660,2660,54,0.110429447852761,54,54
2020-05-21,"Age","60-64 years",1115,0.0771306032097399,1115,1115,45,0.0920245398773006,45,45
2020-05-21,"Age","65-69 years",811,0.0561012728278915,811,811,59,0.120654396728016,59,59
2020-05-21,"Age","70-74 years",540,0.0373547315993359,540,540,45,0.0920245398773006,45,45
2020-05-21,"Age","75-79 years",356,0.0246264526840066,356,356,45,0.0920245398773006,45,45
2020-05-21,"Age","80+ years",641,0.0443414499169895,641,641,196,0.40081799591002,196,196
2020-05-21,"Age","<1 year",37,0.00255949086884339,37,37,0,0,0,0
2020-05-21,"Age","Unknown",124,0.00857775318206973,124,124,3,0.00613496932515337,3,3
2020-05-21,"Gender","Female",6593,0.456073602656336,6593,6593,190,0.388548057259714,190,190
2020-05-21,"Gender","Male",7583,0.524557277255119,7583,7583,268,0.548057259713701,268,268
2020-05-21,"Gender","Unknown",280,0.0193691200885446,280,280,31,0.0633946830265849,31,31
2020-05-21,"Race","Asian",492,0.0340343110127283,492,492,6,0.0122699386503067,6,6
2020-05-21,"Race","Black",2219,0.153500276701716,2219,2219,67,0.137014314928425,67,67
2020-05-21,"Race","Hispanic",5754,0.398035417819591,5754,5754,120,0.245398773006135,120,120
2020-05-21,"Race","Other",96,0.00664084117321527,96,96,2,0.00408997955010225,2,2
2020-05-21,"Race","Unknown",1896,0.131156613171002,1896,1896,114,0.233128834355828,114,114
2020-05-21,"Race","White",3999,0.276632540121749,3999,3999,180,0.368098159509202,180,180
2020-05-27,"Age","1-9 years",168,0.0113620992831056,-1,0,0,0,0,0
2020-05-27,"Age","10-19 years",440,0.0297578790748005,8,8,2,0.0040650406504065,0,0
2020-05-27,"Age","20-29 years",2295,0.155214391992425,51,51,11,0.0223577235772358,1,1
2020-05-27,"Age","30-39 years",2708,0.183146219396727,79,79,9,0.0182926829268293,0,0
2020-05-27,"Age","40-49 years",2770,0.187339375084539,72,72,21,0.0426829268292683,0,0
2020-05-27,"Age","50-59 years",2714,0.183552008656838,54,54,54,0.109756097560976,0,0
2020-05-27,"Age","60-64 years",1143,0.0773028540511295,28,28,45,0.0914634146341463,0,0
2020-05-27,"Age","65-69 years",831,0.0562018125253618,20,20,59,0.119918699186992,0,0
2020-05-27,"Age","70-74 years",543,0.0367239280400379,3,3,45,0.0914634146341463,0,0
2020-05-27,"Age","75-79 years",362,0.0244826186933586,6,6,45,0.0914634146341463,0,0
2020-05-27,"Age","80+ years",651,0.0440281347220344,10,10,198,0.402439024390244,2,2
2020-05-27,"Age","<1 year",38,0.00256999864736913,1,1,0,0,0,0
2020-05-27,"Age","Unknown",123,0.00831867983227377,-1,0,3,0.00609756097560976,0,0
2020-05-27,"Gender","Female",6709,0.453740024347356,116,116,192,0.390243902439024,2,2
2020-05-27,"Gender","Male",7796,0.527255511970783,213,213,269,0.546747967479675,1,1
2020-05-27,"Gender","Unknown",281,0.0190044636818612,1,1,31,0.0630081300813008,0,0
2020-05-27,"Race","Asian",498,0.033680508589206,6,6,6,0.0121951219512195,0,0
2020-05-27,"Race","Black",2315,0.156567022859462,96,96,67,0.136178861788618,0,0
2020-05-27,"Race","Hispanic",5873,0.397200054105235,119,119,122,0.247967479674797,2,2
2020-05-27,"Race","Other",96,0.00649262816177465,0,0,2,0.0040650406504065,0,0
2020-05-27,"Race","Unknown",1939,0.131137562559178,43,43,114,0.231707317073171,0,0
2020-05-27,"Race","White",4065,0.274922223725145,66,66,181,0.367886178861789,1,1
2020-05-29,"Age","1-9 years",170,0.0114262669713671,2,2,0,0,0,0
2020-05-29,"Age","10-19 years",440,0.0295738674553031,0,0,2,0.00407331975560081,0,0
2020-05-29,"Age","20-29 years",2306,0.154993950799839,11,11,11,0.0224032586558045,0,0
2020-05-29,"Age","30-39 years",2728,0.183357978222879,20,20,9,0.0183299389002037,0,0
2020-05-29,"Age","40-49 years",2795,0.187861271676301,25,25,21,0.0427698574338086,0,0
2020-05-29,"Age","50-59 years",2735,0.183828471568759,21,21,54,0.109979633401222,0,0
2020-05-29,"Age","60-64 years",1154,0.077564188735045,11,11,45,0.0916496945010183,0,0
2020-05-29,"Age","65-69 years",833,0.0559887081596989,2,2,58,0.118126272912424,-1,0
2020-05-29,"Age","70-74 years",544,0.0365640543083748,1,1,45,0.0916496945010183,0,0
2020-05-29,"Age","75-79 years",362,0.0243312273154994,0,0,45,0.0916496945010183,0,0
2020-05-29,"Age","80+ years",650,0.0436886678316978,-1,0,198,0.403258655804481,0,0
