Date,Level_Type,Level,Hospitalizations_Total,CI_Lower,CI_Upper
2020-04-12,TSA,A - Amarillo,17,,
2020-04-13,TSA,A - Amarillo,17,,
2020-04-14,TSA,A - Amarillo,24.6666666666667,,
2020-04-15,TSA,A - Amarillo,23,,
2020-04-16,TSA,A - Amarillo,23.2,,
2020-04-17,TSA,A - Amarillo,22.3333333333333,,
2020-04-18,TSA,A - Amarillo,24.1428571428571,,
2020-04-19,TSA,A - Amarillo,24.1428571428571,,
2020-04-20,TSA,A - Amarillo,24.1428571428571,,
2020-04-21,TSA,A - Amarillo,24.2857142857143,,
2020-04-22,TSA,A - Amarillo,27.5714285714286,,
2020-04-23,TSA,A - Amarillo,29.8571428571429,,
2020-04-24,TSA,A - Amarillo,33.8571428571429,,
2020-04-25,TSA,A - Amarillo,37.2857142857143,,
2020-04-26,TSA,A - Amarillo,44,,
2020-04-27,TSA,A - Amarillo,51.1428571428572,,
2020-04-28,TSA,A - Amarillo,57,,
2020-04-29,TSA,A - Amarillo,63.1428571428572,,
2020-04-30,TSA,A - Amarillo,69.8571428571429,,
2020-05-01,TSA,A - Amarillo,76.2857142857143,,
2020-05-02,TSA,A - Amarillo,82.2857142857143,,
2020-05-03,TSA,A - Amarillo,86.5714285714286,,
2020-05-04,TSA,A - Amarillo,89.8571428571429,,
2020-05-05,TSA,A - Amarillo,91.8571428571429,,
2020-05-06,TSA,A - Amarillo,95.4285714285714,,
2020-05-07,TSA,A - Amarillo,99,,
2020-05-08,TSA,A - Amarillo,101.571428571429,,
2020-05-09,TSA,A - Amarillo,101.857142857143,,
2020-05-10,TSA,A - Amarillo,102.428571428571,,
2020-05-11,TSA,A - Amarillo,103,,
2020-05-12,TSA,A - Amarillo,101,,
2020-05-13,TSA,A - Amarillo,97.4285714285714,,
2020-05-14,TSA,A - Amarillo,92.7142857142857,,
2020-05-15,TSA,A - Amarillo,88.5714285714286,,
2020-05-16,TSA,A - Amarillo,84.1428571428572,,
2020-05-17,TSA,A - Amarillo,79.8571428571429,,
2020-05-18,TSA,A - Amarillo,76.4285714285714,,
2020-05-19,TSA,A - Amarillo,75.4285714285714,,
2020-05-20,TSA,A - Amarillo,72.4285714285714,,
2020-05-21,TSA,A - Amarillo,68.7142857142857,,
2020-05-22,TSA,A - Amarillo,65.1428571428571,,
2020-05-23,TSA,A - Amarillo,62.7142857142857,,
2020-05-24,TSA,A - Amarillo,60.8571428571429,,
2020-05-25,TSA,A - Amarillo,59.5714285714286,,
2020-05-26,TSA,A - Amarillo,57.2857142857143,,
2020-05-27,TSA,A - Amarillo,57.2857142857143,,
2020-05-28,TSA,A - Amarillo,53.1428571428572,,
2020-05-29,TSA,A - Amarillo,53.5714285714286,,
2020-05-30,TSA,A - Amarillo,51.2857142857143,,
2020-05-31,TSA,A - Amarillo,50.1428571428572,,
2020-06-01,TSA,A - Amarillo,47.8571428571429,,
2020-06-02,TSA,A - Amarillo,46,,
2020-06-03,TSA,A - Amarillo,42.4285714285714,,
2020-06-04,TSA,A - Amarillo,43.4285714285714,,
2020-06-05,TSA,A - Amarillo,39.7142857142857,,
2020-06-06,TSA,A - Amarillo,38.5714285714286,,
2020-06-07,TSA,A - Amarillo,35.4285714285714,,
2020-06-08,TSA,A - Amarillo,33.1428571428572,,
2020-06-09,TSA,A - Amarillo,30.1428571428571,,
2020-06-10,TSA,A - Amarillo,28,,
2020-06-11,TSA,A - Amarillo,26,,
2020-06-12,TSA,A - Amarillo,24,,
2020-06-13,TSA,A - Amarillo,22,,
2020-06-14,TSA,A - Amarillo,20.7142857142857,,
2020-06-15,TSA,A - Amarillo,20.1428571428571,,
2020-06-16,TSA,A - Amarillo,19.8571428571429,,
2020-06-17,TSA,A - Amarillo,20,,
2020-06-18,TSA,A - Amarillo,20.7142857142857,,
2020-06-19,TSA,A - Amarillo,21,,
2020-06-20,TSA,A - Amarillo,21.7142857142857,,
2020-06-21,TSA,A - Amarillo,22.7142857142857,,
2020-06-22,TSA,A - Amarillo,22.4285714285714,,
2020-06-23,TSA,A - Amarillo,23,,
2020-06-24,TSA,A - Amarillo,23.1428571428571,,
2020-06-25,TSA,A - Amarillo,23.1428571428571,,
2020-06-26,TSA,A - Amarillo,23.2857142857143,,
2020-06-27,TSA,A - Amarillo,23,,
2020-06-28,TSA,A - Amarillo,22.8571428571429,,
2020-06-29,TSA,A - Amarillo,23.1428571428571,,
2020-06-30,TSA,A - Amarillo,22.8571428571429,,
2020-07-01,TSA,A - Amarillo,23.1428571428571,,
2020-07-02,TSA,A - Amarillo,23.2857142857143,,
2020-07-03,TSA,A - Amarillo,23.5714285714286,,
2020-07-04,TSA,A - Amarillo,24.4285714285714,,
2020-07-05,TSA,A - Amarillo,25.7142857142857,,
2020-07-06,TSA,A - Amarillo,27.5714285714286,,
2020-07-07,TSA,A - Amarillo,29.4285714285714,,
2020-07-08,TSA,A - Amarillo,31.4285714285714,,
2020-07-09,TSA,A - Amarillo,34.7142857142857,,
2020-07-10,TSA,A - Amarillo,38.2857142857143,,
2020-07-11,TSA,A - Amarillo,41.2857142857143,,
2020-07-12,TSA,A - Amarillo,43.4285714285714,,
2020-07-13,TSA,A - Amarillo,44.7142857142857,,
2020-07-14,TSA,A - Amarillo,46.2857142857143,,
2020-07-15,TSA,A - Amarillo,47.7142857142857,,
2020-07-16,TSA,A - Amarillo,49.4285714285714,,
2020-07-17,TSA,A - Amarillo,51.5714285714286,,
2020-07-18,TSA,A - Amarillo,53.7142857142857,,
2020-07-19,TSA,A - Amarillo,56.1428571428572,,
2020-07-20,TSA,A - Amarillo,59.2857142857143,,
2020-07-21,TSA,A - Amarillo,63,,
2020-07-22,TSA,A - Amarillo,65,,
2020-07-23,TSA,A - Amarillo,68.4285714285714,,
2020-07-24,TSA,A - Amarillo,70.1428571428571,,
2020-07-25,TSA,A - Amarillo,67.5714285714286,,
2020-07-26,TSA,A - Amarillo,69.5714285714286,,
2020-07-27,TSA,A - Amarillo,64.8571428571429,,
2020-07-28,TSA,A - Amarillo,59.4285714285714,,
2020-07-29,TSA,A - Amarillo,60.1428571428572,,
2020-07-30,TSA,A - Amarillo,58.5714285714286,,
2020-07-31,TSA,A - Amarillo,58.8571428571429,,
2020-08-01,TSA,A - Amarillo,63.5714285714286,,
2020-08-02,TSA,A - Amarillo,63.7142857142857,,
2020-08-03,TSA,A - Amarillo,69.8571428571429,,
2020-08-04,TSA,A - Amarillo,74.8571428571429,,
2020-08-05,TSA,A - Amarillo,75.5714285714286,,
2020-08-06,TSA,A - Amarillo,76.1428571428571,,
2020-08-07,TSA,A - Amarillo,75.7142857142857,,
2020-08-08,TSA,A - Amarillo,75.1428571428571,,
2020-08-09,TSA,A - Amarillo,74.4285714285714,,
2020-08-10,TSA,A - Amarillo,74,,
2020-08-11,TSA,A - Amarillo,74.4285714285714,,
2020-08-12,TSA,A - Amarillo,73.8571428571429,,
2020-08-13,TSA,A - Amarillo,70.8571428571429,,
2020-08-14,TSA,A - Amarillo,68.4285714285714,,
2020-08-15,TSA,A - Amarillo,66.2857142857143,,
2020-08-16,TSA,A - Amarillo,64.1428571428572,,
2020-08-17,TSA,A - Amarillo,61.7142857142857,,
2020-08-18,TSA,A - Amarillo,58.5714285714286,,
2020-08-19,TSA,A - Amarillo,56.2857142857143,,
2020-08-20,TSA,A - Amarillo,56.5714285714286,,
2020-08-21,TSA,A - Amarillo,56.1428571428572,,
2020-08-22,TSA,A - Amarillo,56,,
2020-08-23,TSA,A - Amarillo,55.5714285714286,,
2020-08-24,TSA,A - Amarillo,54.8571428571429,,
2020-08-25,TSA,A - Amarillo,54.5714285714286,,
2020-08-26,TSA,A - Amarillo,53.5714285714286,,
2020-08-27,TSA,A - Amarillo,52.8571428571429,,
2020-08-28,TSA,A - Amarillo,52.1428571428572,,
2020-08-29,TSA,A - Amarillo,50.7142857142857,,
2020-08-30,TSA,A - Amarillo,49.5714285714286,,
