"Level","Date","TPR_CMS","Cases_100K_7Day_MA","Rt","lower","upper","Level_Type"
"A W Brown Leadership Academy (57816)",2020-10-24,0.087,14.8651086743944,1.03775387209808,0.873530098317658,1.20218498679361,"District"
"A+ Academy (57829)",2020-10-24,0.087,14.8651086743944,1.03775387209808,0.873530098317658,1.20218498679361,"District"
"A+ Unlimited Potential (101871)",2020-10-24,0.054,4.81178724325478,1.2977629854642,1.08487703515731,1.50606458998309,"District"
"Abbott ISD (109901)",2020-10-24,0.0555,32.0711697255627,0.981493552060232,0.606132090117868,1.37757293208606,"District"
"Abernathy ISD (95901)",2020-10-24,0.15475,185.098990762415,1.06969594023439,0.889698244357319,1.25604458026916,"District"
"Abilene ISD (221901)",2020-10-24,0.0855,14.9148204253367,1.47917413711239,0.725405493351649,2.35756785339286,"District"
"Academy For Academic Excellence (57814)",2020-10-24,0.087,14.8651086743944,1.03775387209808,0.873530098317658,1.20218498679361,"District"
"Academy ISD (14901)",2020-10-24,0.028,8.48346713646222,NA,NA,NA,"District"
"Academy Of Accelerated Learning Inc (101810)",2020-10-24,0.054,4.81178724325478,1.2977629854642,1.08487703515731,1.50606458998309,"District"
"Academy Of Dallas (57810)",2020-10-24,0.087,14.8651086743944,1.03775387209808,0.873530098317658,1.20218498679361,"District"
"Accelerated Intermediate Academy (101849)",2020-10-24,0.054,4.81178724325478,1.2977629854642,1.08487703515731,1.50606458998309,"District"
"Adrian ISD (180903)",2020-10-24,0.172,59.8320270921274,NA,NA,NA,"District"
"Advantage Academy (57806)",2020-10-24,0.087,14.8651086743944,1.03775387209808,0.873530098317658,1.20218498679361,"District"
"Agua Dulce ISD (178901)",2020-10-24,0.072,7.96658924480024,1.52441944252062,0.494026154955002,2.47013077477501,"District"
"Alamo Heights ISD (15901)",2020-10-24,0.056,4.44231722730621,1.10846009851154,0.782697019845573,1.42927281884844,"District"
"Albany ISD (209901)",2020-10-24,0.08525,58.7784594982229,NA,NA,NA,"District"
"Aldine ISD (101902)",2020-10-24,0.0625,21.681444361075,1.25578176021424,1.07059316202445,1.44429077518392,"District"
"Aledo ISD (184907)",2020-10-24,0.108666666666667,40.6182591798026,1.1434024003564,0.98913510696196,1.31099653065593,"District"
"Alice ISD (125901)",2020-10-24,0.0892,17.7100932631817,1.64034600939983,0.901053993314155,2.52295118127963,"District"
"Alief ISD (101903)",2020-10-24,0.048,10.3194800792253,1.2452385796639,1.0459924647824,1.43545774422265,"District"
"Alief Montessori Community School (101815)",2020-10-24,0.054,4.81178724325478,1.2977629854642,1.08487703515731,1.50606458998309,"District"
"Allen ISD (43901)",2020-10-24,0.055,9.19513941357002,1.09099859525618,0.765113938248067,1.45371648267133,"District"
"Alpine ISD (22901)",2020-10-24,0.0455,117.414153297688,NA,NA,NA,"District"
"Alto ISD (37901)",2020-10-24,0.0695,31.9810904513369,NA,NA,NA,"District"
"Alvarado ISD (126901)",2020-10-24,0.101,8.56971462850287,NA,NA,NA,"District"
"Alvin ISD (20901)",2020-10-24,0.0435,23.0530894071486,1.25979304977274,1.08500311279218,1.45296069017388,"District"
"Alvord ISD (249901)",2020-10-24,0.043,16.6198436782456,NA,NA,NA,"District"
"Amarillo ISD (188901)",2020-10-24,0.137,129.563192353467,NA,NA,NA,"District"
"Ambassadors Preparatory Academy (84804)",2020-10-24,0.033,5.5502555530709,1.39201393221153,0.764093786330403,2.03758343021441,"District"
"Amherst ISD (140901)",2020-10-24,0.143,54.7902316844083,NA,NA,NA,"District"
"Amigos Por Vida-Friends For Life Pub Chtr Sch (101819)",2020-10-24,0.054,4.81178724325478,1.2977629854642,1.08487703515731,1.50606458998309,"District"
"Anahuac ISD (36901)",2020-10-24,0.0506666666666667,27.9766039379048,1.28924707136741,0.766649283943548,1.91662320985887,"District"
"Anderson-Shiro Cisd (93901)",2020-10-24,0.05875,63.3907580509048,1.05067426647091,0.759252178237296,1.38646049938984,"District"
"Andrews ISD (2901)",2020-10-24,0.112333333333333,92.6345447021097,1.0088951990947,0.640813478951217,1.41894413196341,"District"
"Angleton ISD (20902)",2020-10-24,0.04,18.2413021638938,1.14641891060736,0.795931027427503,1.48332600566035,"District"
"Anna ISD (43902)",2020-10-24,0.0635,26.9831368538338,1.12645814171665,0.850513810270536,1.43707505873297,"District"
"Anthony ISD (71906)",2020-10-24,0.156,56.336053117316,1.177315122871,1.06213542328995,1.29870194938634,"District"
"Anton ISD (110901)",2020-10-24,0.15475,185.098990762415,1.06969594023439,0.889698244357319,1.25604458026916,"District"
"Aquilla ISD (109912)",2020-10-24,0.0606666666666667,48.9583073557344,0.988910046845956,0.636744821942003,1.37961378087434,"District"
"Aransas County ISD (4901)",2020-10-24,0.0514,21.919178407776,1.33857879235416,0.554584199755938,2.03347539910511,"District"
"Aransas Pass ISD (205901)",2020-10-24,0.0496666666666667,10.0252718428993,1.12421794271631,0.278189485314467,1.94732639720127,"District"
"Archer City ISD (5901)",2020-10-24,0.1258,115.118484520335,NA,NA,NA,"District"
