Date,Level_Type,Level,new_cases_probable_plus_confirmed,new_cases_confirmed,new_cases_probable,cumulative_cases_probable_plus_confirmed,cumulative_cases_confirmed,cumulative_cases_probable,new_deaths,new_hospitalizations,hospitalizations_7_day
2020-03-08,State,Texas,4,3,1,4,3,1,,,
2020-03-15,State,Texas,98,96,2,102,99,3,1.0,,
2020-03-22,State,Texas,441,427,14,543,526,17,11.0,,
2020-03-29,State,Texas,1612,1581,31,2155,2107,48,57.0,,
2020-04-05,State,Texas,3219,3167,52,5374,5274,100,154.0,,
2020-04-12,State,Texas,4379,4324,55,9753,9598,155,198.0,0.0,1257.0
2020-04-19,State,Texas,3923,3824,99,13676,13422,254,228.0,0.0,1452.0
2020-04-26,State,Texas,4887,4791,96,18563,18213,350,233.0,0.0,1598.571428571429
2020-05-03,State,Texas,7000,6918,82,25563,25131,432,226.0,0.0,1663.7142857142858
2020-05-10,State,Texas,7236,7170,66,32799,32301,498,214.0,0.0,1724.2857142857142
2020-05-17,State,Texas,7566,7478,88,40365,39779,586,237.0,0.0,1659.857142857143
2020-05-24,State,Texas,6026,5939,87,46391,45718,673,173.0,0.0,1650.2857142857142
2020-05-31,State,Texas,6459,6323,136,52850,52041,809,187.0,0.0,1669.2857142857142
2020-06-07,State,Texas,16687,16448,239,69537,68489,1048,178.0,0.0,1837.7142857142856
2020-06-14,State,Texas,15134,14615,519,84671,83104,1567,233.0,0.0,2184.1428571428573
2020-06-21,State,Texas,25389,24650,739,110060,107754,2306,286.0,0.0,3110.4285714285716
2020-06-28,State,Texas,39415,38163,1252,149475,145917,3558,467.0,0.0,5036.428571428572
2020-07-05,State,Texas,46210,44935,1275,195685,190852,4833,826.0,0.0,7605.714285714285
2020-07-12,State,Texas,60431,58733,1698,256116,249585,6531,1311.0,0.0,9926.42857142857
2020-07-19,State,Texas,59442,57632,1810,315558,307217,8341,1695.0,0.0,10564.0
2020-07-26,State,Texas,56153,53755,2398,371711,360972,10739,1800.0,0.0,10042.285714285714
2020-08-02,State,Texas,53821,51534,2287,425532,412506,13026,1633.0,1392.0,9123.285714285714
2020-08-09,State,Texas,76024,74052,1972,501556,486558,14998,1419.0,4614.0,7924.714285714285
2020-08-16,State,Texas,67823,66153,1670,569379,552711,16668,1256.0,3857.0,6551.857142857143
2020-08-23,State,Texas,41842,40312,1530,611221,593023,18198,914.0,3507.0,5494.714285714285
2020-08-30,State,Texas,34310,32669,1641,645531,625692,19839,757.0,3066.0,4427.142857142857
2020-09-06,State,Texas,25209,23292,1917,670740,648984,21756,623.0,3003.0,3887.142857142858
2020-09-13,State,Texas,33833,31485,2348,704573,680469,24104,517.0,2594.0,3444.714285714286
2020-09-20,State,Texas,35216,33030,2186,739789,713499,26290,473.0,2739.0,3149.1428571428573
2020-09-27,State,Texas,23283,21065,2218,763072,734564,28508,447.0,2779.0,3173.1428571428573
2020-10-04,State,Texas,28678,26410,2268,791750,760974,30776,404.0,2819.0,3210.285714285714
