County,Date,cases_daily,deaths_daily
Bexar,2020-02-18,,
Bexar,2020-02-25,,
Bexar,2020-03-03,,
Bexar,2020-03-10,,
Bexar,2020-03-17,,
Bexar,2020-03-24,72,
Bexar,2020-03-31,134,4
Bexar,2020-04-07,297,7
Bexar,2020-04-14,312,20
Bexar,2020-04-21,265,6
Bexar,2020-04-28,227,5
Bexar,2020-05-05,370,8
Bexar,2020-05-12,265,5
Bexar,2020-05-19,336,5
Bexar,2020-05-26,202,7
Bexar,2020-06-02,402,6
Bexar,2020-06-09,631,5
Bexar,2020-06-16,1363,9
Bexar,2020-06-23,2591,11
Bexar,2020-06-30,4598,10
Bexar,2020-07-07,3815,27
Bexar,2020-07-14,5187,64
Bexar,2020-07-21,10800,73
Bexar,2020-07-28,6117,61
Bexar,2020-08-04,3290,45
Bexar,2020-08-11,1890,139
Bexar,2020-08-18,1101,118
Bexar,2020-08-25,1223,104
Bexar,2020-09-01,1175,81
Bexar,2020-09-08,1073,157
Bexar,2020-09-15,2395,40
Bexar,2020-09-22,3508,49
Bexar,2020-09-29,4038,67
Bexar,2020-10-06,1262,33
Bexar,2020-10-13,963,39
Bexar,2020-10-20,3692,23
Bexar,2020-10-27,1347,17
Bexar,2020-11-03,1588,13
Bexar,2020-11-10,1847,25
Bexar,2020-11-17,2152,19
Bexar,2020-11-24,5190,33
Bexar,2020-12-01,5908,25
Bexar,2020-12-08,7864,44
Bexar,2020-12-15,6650,29
Bexar,2020-12-22,9024,36
Bexar,2020-12-29,9198,50
Bexar,2021-01-05,10438,53
Bexar,2021-01-12,12607,86
Bexar,2021-01-19,14824,162
Bexar,2021-01-26,10698,176
Bexar,2021-02-02,13861,169
Bexar,2021-02-09,7994,195
Bexar,2021-02-16,4474,35
Bexar,2021-02-23,4703,104
Bexar,2021-03-02,3104,169
Bexar,2021-03-09,1904,183
Bexar,2021-03-16,2041,138
Bexar,2021-03-23,1839,82
Bexar,2021-03-30,2557,75
Bexar,2021-04-06,2766,64
Bexar,2021-04-13,2897,69
Bexar,2021-04-20,3002,43
Bexar,2021-04-27,2405,27
Bexar,2021-05-04,2236,22
Bexar,2021-05-11,1342,27
Bexar,2021-05-18,1283,33
Bexar,2021-05-25,1234,21
Bexar,2021-06-01,712,28
Bexar,2021-06-08,1384,38
Bexar,2021-06-15,880,13
Bexar,2021-06-22,857,14
Bexar,2021-06-29,1070,3
Bexar,2021-07-06,1164,6
Bexar,2021-07-13,1985,3
Bexar,2021-07-20,2544,6
Bexar,2021-07-27,4122,5
Bexar,2021-08-02,8020,12
Bexar,2021-08-09,8911,10
Bexar,2021-08-16,11394,45
Bexar,2021-08-23,8219,37
Bexar,2021-08-30,7915,70
Bexar,2021-09-06,8556,46
Bexar,2021-09-13,5728,47
Bexar,2021-09-20,4563,27
Bexar,2021-09-27,4310,43
Bexar,2021-10-04,3052,26
Bexar,2021-10-11,2546,25
Bexar,2021-10-18,2129,12
Bexar,2021-10-25,1561,10
Bexar,2021-11-01,1295,24
Bexar,2021-11-08,1061,14
Bexar,2021-11-15,1557,7
Bexar,2021-11-23,1262,1
Bexar,2021-11-29,1156,4
Bexar,2021-12-06,1771,3
Bexar,2021-12-13,1662,9
Bexar,2021-12-20,2179,9
Bexar,2022-01-03,17817,2
Bexar,2022-01-10,25517,17
Bexar,2022-01-17,42983,19
Bexar,2022-01-24,38783,49
Bexar,2021-12-27,4206,4
Bexar,2022-01-31,29293,36
Bexar,2022-02-07,12330,50
Bexar,2022-02-14,5368,28
Bexar,2022-02-21,2697,34
Bexar,2022-02-28,1464,34
Bexar,2022-03-07,932,19
Bexar,2022-03-14,561,11
Bexar,2022-03-21,397,7
Bexar,2022-03-28,520,6
Bexar,2022-04-04,489,4
Bexar,2022-04-11,481,4
Bexar,2022-04-18,732,0
Bexar,2022-04-25,803,1
Bexar,2022-05-02,892,0
Bexar,2022-05-09,1212,0
Bexar,2022-05-16,1524,2
Bexar,2022-05-23,2461,6
Bexar,2022-05-30,2945,0
Bexar,2022-06-06,3598,2
Bexar,2022-06-13,4016,3
Bexar,2022-06-20,4671,3
Bexar,2022-06-27,5870,3
Bexar,2022-07-04,6645,1
Bexar,2022-07-11,6882,2
Bexar,2022-07-18,6984,2
Bexar,2022-07-25,6631,2
Bexar,2022-08-01,6258,2
Bexar,2022-08-08,5008,2
Bexar,2022-08-15,5764,1
Bexar,2022-08-22,4633,2
Bexar,2022-08-29,5022,2
Bexar,2022-09-05,4740,2
Bexar,2022-09-12,3521,4
Bexar,2022-09-19,2486,2
Bexar,2022-09-26,1691,1
Bexar,2022-10-03,1227,0
Bexar,2022-10-10,888,4
Bexar,2022-10-17,917,0
Bexar,2022-10-24,735,0
Bexar,2022-10-31,683,1
Bexar,2022-11-07,710,0
Bexar,2022-11-14,1018,2
Bexar,2022-11-21,1296,0
Bexar,2022-11-28,1397,2
Bexar,2022-12-05,2438,0
Bexar,2022-12-12,2809,0
Bexar,2022-12-19,2275,3
Bexar,2022-12-26,2542,4
Bexar,2023-01-02,3125,1
Bexar,2023-01-09,2497,1
Bexar,2023-01-16,2841,7
Bexar,2023-01-23,1378,1
Bexar,2023-01-30,1339,4
Bexar,2023-02-06,1533,1
Bexar,2023-02-13,1725,0
Bexar,2023-02-20,919,1
Bexar,2023-02-27,1240,0
Bexar,2023-03-06,1065,2
Bexar,2023-03-13,1002,1
Bexar,2023-03-20,596,0
Bexar,2023-03-27,791,1
Bexar,2023-04-03,853,1
Bexar,2023-04-10,670,0
Bexar,2023-04-17,924,0
Bexar,2023-04-24,669,2
Bexar,2023-05-01,556,1
Bexar,2023-05-08,587,0
Bexar,2023-05-15,362,0
Bexar,2023-05-23,474,0
