County,Date,cases_daily,deaths_daily
Denton,2020-03-01,0,0
Denton,2020-03-03,0,0
Denton,2020-03-04,0,0
Denton,2020-03-05,0,0
Denton,2020-03-07,0,0
Denton,2020-03-09,0,0
Denton,2020-03-10,0,0
Denton,2020-03-11,0,0
Denton,2020-03-12,0,0
Denton,2020-03-13,0,0
Denton,2020-03-14,0,0
Denton,2020-03-15,1,0
Denton,2020-03-16,0,0
Denton,2020-03-17,1,0
Denton,2020-03-18,3,0
Denton,2020-03-19,4,0
Denton,2020-03-20,6,0
Denton,2020-03-21,9,0
Denton,2020-03-22,6,0
Denton,2020-03-23,6,0
Denton,2020-03-24,15,0
Denton,2020-03-25,19,0
Denton,2020-03-26,13,1
Denton,2020-03-27,54,0
Denton,2020-03-28,11,1
Denton,2020-03-29,17,0
Denton,2020-03-30,26,1
Denton,2020-03-31,15,1
Denton,2020-04-01,25,0
Denton,2020-04-02,23,1
Denton,2020-04-03,19,1
Denton,2020-04-04,15,0
Denton,2020-04-05,16,1
Denton,2020-04-06,33,0
Denton,2020-04-07,29,0
Denton,2020-04-08,32,0
Denton,2020-04-09,28,2
Denton,2020-04-10,28,1
Denton,2020-04-11,20,3
Denton,2020-04-12,8,0
Denton,2020-04-13,25,0
Denton,2020-04-14,14,1
Denton,2020-04-15,26,0
Denton,2020-04-16,17,1
Denton,2020-04-17,21,0
Denton,2020-04-18,7,1
Denton,2020-04-19,1,0
Denton,2020-04-20,5,1
Denton,2020-04-21,21,1
Denton,2020-04-22,25,1
Denton,2020-04-23,17,0
Denton,2020-04-24,19,0
Denton,2020-04-25,22,1
Denton,2020-04-26,11,0
Denton,2020-04-27,12,0
Denton,2020-04-28,13,0
Denton,2020-04-29,10,0
Denton,2020-04-30,17,1
Denton,2020-05-01,21,1
Denton,2020-05-02,13,0
Denton,2020-05-03,4,0
Denton,2020-05-04,3,0
Denton,2020-05-05,26,0
Denton,2020-05-06,14,0
Denton,2020-05-07,26,1
Denton,2020-05-08,30,2
Denton,2020-05-09,12,0
Denton,2020-05-10,8,0
Denton,2020-05-11,24,0
Denton,2020-05-12,22,0
Denton,2020-05-13,21,0
Denton,2020-05-14,27,3
Denton,2020-05-15,24,0
Denton,2020-05-16,11,0
Denton,2020-05-17,18,0
Denton,2020-05-18,19,0
Denton,2020-05-19,28,0
Denton,2020-05-20,45,0
Denton,2020-05-21,27,1
Denton,2020-05-22,17,1
Denton,2020-05-23,7,0
Denton,2020-05-24,12,0
Denton,2020-05-25,9,0
Denton,2020-05-26,22,0
Denton,2020-05-27,30,0
Denton,2020-05-28,33,0
Denton,2020-05-29,11,0
Denton,2020-05-30,28,1
Denton,2020-05-31,15,0
Denton,2020-06-01,26,1
Denton,2020-06-02,18,0
Denton,2020-06-03,19,0
Denton,2020-06-04,19,0
Denton,2020-06-05,13,1
Denton,2020-06-06,19,0
Denton,2020-06-07,14,0
Denton,2020-06-08,24,1
Denton,2020-06-09,35,1
Denton,2020-06-10,40,1
Denton,2020-06-11,33,0
Denton,2020-06-12,55,0
Denton,2020-06-13,32,0
Denton,2020-06-14,17,0
Denton,2020-06-15,36,0
Denton,2020-06-16,40,0
Denton,2020-06-17,82,0
Denton,2020-06-18,87,0
Denton,2020-06-19,74,0
Denton,2020-06-20,59,0
Denton,2020-06-21,50,0
Denton,2020-06-22,56,0
Denton,2020-06-23,83,0
Denton,2020-06-24,115,1
Denton,2020-06-25,77,0
Denton,2020-06-26,87,0
Denton,2020-06-27,48,0
Denton,2020-06-28,40,0
Denton,2020-06-29,70,0
Denton,2020-06-30,104,0
Denton,2020-07-01,106,0
Denton,2020-07-02,81,0
Denton,2020-07-03,152,0
Denton,2020-07-04,95,0
Denton,2020-07-05,59,0
Denton,2020-07-06,65,0
Denton,2020-07-07,56,0
Denton,2020-07-08,123,0
Denton,2020-07-09,115,1
Denton,2020-07-10,113,1
Denton,2020-07-11,127,1
Denton,2020-07-12,112,0
Denton,2020-07-13,113,0
Denton,2020-07-14,154,1
Denton,2020-07-15,151,0
Denton,2020-07-16,138,0
Denton,2020-07-17,159,1
Denton,2020-07-18,121,0
Denton,2020-07-19,81,0
Denton,2020-07-20,130,3
Denton,2020-07-21,218,0
Denton,2020-07-22,227,1
Denton,2020-07-23,180,0
Denton,2020-07-24,190,1
Denton,2020-07-25,127,2
Denton,2020-07-26,78,0
Denton,2020-07-27,87,2
Denton,2020-07-28,123,0
Denton,2020-07-29,162,2
Denton,2020-07-30,188,0
Denton,2020-07-31,122,1
Denton,2020-08-01,91,1
Denton,2020-08-02,44,0
Denton,2020-08-03,94,1
Denton,2020-08-04,94,0
Denton,2020-08-05,130,0
Denton,2020-08-06,117,1
Denton,2020-08-07,145,3
Denton,2020-08-08,67,2
Denton,2020-08-09,58,0
Denton,2020-08-10,101,0
Denton,2020-08-11,122,4
Denton,2020-08-12,92,7
Denton,2020-08-13,118,7
Denton,2020-08-14,137,2
Denton,2020-08-15,86,0
Denton,2020-08-17,127,0
Denton,2020-08-18,156,8
Denton,2020-08-19,105,0
Denton,2020-08-20,151,0
Denton,2020-08-21,109,3
Denton,2020-08-22,145,0
Denton,2020-08-24,140,0
Denton,2020-08-25,171,5
Denton,2020-08-26,137,0
Denton,2020-08-27,201,2
Denton,2020-08-28,130,0
Denton,2020-08-29,119,0
Denton,2020-08-31,130,0
Denton,2020-09-01,114,1
Denton,2020-09-02,101,0
Denton,2020-09-03,82,0
Denton,2020-09-04,92,0
Denton,2020-09-05,74,0
Denton,2020-09-07,51,0
Denton,2020-09-08,127,4
Denton,2020-09-09,81,0
Denton,2020-09-10,69,0
Denton,2020-09-11,61,0
Denton,2020-09-12,36,0
Denton,2020-09-14,114,0
Denton,2020-09-15,93,0
Denton,2020-09-16,92,2
Denton,2020-09-17,65,0
Denton,2020-09-18,59,0
Denton,2020-09-19,60,0
Denton,2020-09-21,106,0
Denton,2020-09-22,95,2
Denton,2020-09-23,68,0
Denton,2020-09-24,90,0
Denton,2020-09-25,89,0
Denton,2020-09-26,34,0
Denton,2020-09-28,75,0
Denton,2020-09-29,89,0
Denton,2020-09-30,94,0
Denton,2020-10-01,76,0
Denton,2020-10-02,65,0
Denton,2020-10-03,42,0
Denton,2020-10-05,85,0
Denton,2020-10-06,1235,0
Denton,2020-10-07,135,4
Denton,2020-10-08,110,0
Denton,2020-10-09,145,0
Denton,2020-10-10,58,0
Denton,2020-10-12,151,0
Denton,2020-10-13,126,3
Denton,2020-10-14,182,0
Denton,2020-10-15,143,0
Denton,2020-10-16,212,1
Denton,2020-10-17,123,0
Denton,2020-10-19,152,1
Denton,2020-10-20,144,0
Denton,2020-10-21,169,0
Denton,2020-10-22,124,0
Denton,2020-10-23,207,0
Denton,2020-10-24,125,0
Denton,2020-10-26,219,0
Denton,2020-10-27,164,5
Denton,2020-10-28,156,4
Denton,2020-10-29,126,3
Denton,2020-10-30,142,2
Denton,2020-10-31,117,6
Denton,2020-11-02,238,0
Denton,2020-11-03,219,0
Denton,2020-11-04,201,0
Denton,2020-11-05,207,0
Denton,2020-11-06,214,0
Denton,2020-11-07,58,0
Denton,2020-11-09,275,0
Denton,2020-11-10,209,4
Denton,2020-11-11,294,0
Denton,2020-11-12,194,0
Denton,2020-11-13,234,0
Denton,2020-11-14,250,0
Denton,2020-11-16,335,4
Denton,2020-11-17,244,0
Denton,2020-11-18,251,0
Denton,2020-11-19,335,0
Denton,2020-11-20,403,0
Denton,2020-11-21,308,0
Denton,2020-11-23,484,1
Denton,2020-11-24,412,0
