County,Date,cases_daily,deaths_daily
Nueces,2022-01-07,4477,2
Nueces,2022-01-14,7231,6
Nueces,2022-01-21,5739,19
Nueces,2022-01-28,4424,15
Nueces,2022-02-04,2587,32
Nueces,2022-02-11,1477,25
Nueces,2022-02-18,695,22
Nueces,2022-02-25,487,16
Nueces,2022-03-04,382,11
Nueces,2022-03-11,799,12
Nueces,2022-03-18,514,8
Nueces,2022-03-25,217,0
Nueces,2022-04-01,275,1
Nueces,2022-04-08,87,9
Nueces,2022-04-15,65,1
Nueces,2022-04-22,74,0
Nueces,2022-04-29,78,3
Nueces,2022-05-06,104,0
Nueces,2022-05-13,144,0
Nueces,2022-05-20,202,2
Nueces,2022-05-27,368,1
Nueces,2022-06-03,378,1
Nueces,2022-06-10,553,2
Nueces,2022-06-17,731,0
Nueces,2022-06-24,998,1
Nueces,2022-07-01,1233,3
Nueces,2022-07-08,1294,5
Nueces,2022-07-15,1361,2
Nueces,2022-07-22,1487,7
Nueces,2022-07-29,1408,3
Nueces,2022-08-05,1154,8
Nueces,2022-08-12,788,5
Nueces,2022-08-19,888,2
Nueces,2022-08-26,812,6
Nueces,2022-09-02,623,2
Nueces,2022-09-09,436,3
Nueces,2022-09-16,357,7
Nueces,2022-09-23,331,4
Nueces,2022-09-30,241,2
Nueces,2022-10-07,143,4
Nueces,2022-10-14,113,5
Nueces,2022-10-21,95,0
Nueces,2022-10-28,167,1
Nueces,2022-11-04,84,1
Nueces,2022-11-11,81,0
Nueces,2022-11-18,106,1
Nueces,2022-11-23,92,1
Nueces,2022-11-30,176,1
Nueces,2022-12-09,465,0
Nueces,2022-12-16,399,2
Nueces,2022-12-23,469,3
Nueces,2022-12-30,540,1
Nueces,2023-01-06,514,2
Nueces,2023-01-13,599,1
Nueces,2023-01-20,317,1
Nueces,2023-01-27,264,6
Nueces,2023-02-03,231,3
Nueces,2023-02-10,273,2
Nueces,2023-02-17,213,2
Nueces,2023-02-24,183,4
Nueces,2023-03-03,153,0
Nueces,2023-03-10,169,1
Nueces,2023-03-17,125,2
Nueces,2023-03-24,82,2
Nueces,2023-03-31,99,4
Nueces,2023-04-07,135,2
Nueces,2023-04-14,126,1
Nueces,2023-04-21,100,2
Nueces,2023-04-28,88,1
Nueces,2023-05-05,67,2
Nueces,2023-05-12,62,0
Nueces,2023-05-19,144,0
