County,Date,cases_daily,deaths_daily
Potter,2020-03-04,1,
Potter,2020-03-22,1,
Potter,2020-03-24,2,
Potter,2020-03-25,1,
Potter,2020-03-27,2,
Potter,2020-03-28,3,
Potter,2020-03-29,1,
Potter,2020-03-30,1,
Potter,2020-03-31,7,
Potter,2020-04-01,7,
Potter,2020-04-02,9,11
Potter,2020-04-03,12,
Potter,2020-04-04,4,
Potter,2020-04-05,2,
Potter,2020-04-06,3,
Potter,2020-04-07,8,
Potter,2020-04-08,4,
Potter,2020-04-09,5,
Potter,2020-04-10,3,
Potter,2020-04-11,8,
Potter,2020-04-13,6,
Potter,2020-04-14,15,
Potter,2020-04-15,9,
Potter,2020-04-16,17,
Potter,2020-04-17,28,
Potter,2020-04-18,26,
Potter,2020-04-19,8,
Potter,2020-04-20,8,
Potter,2020-04-21,35,
Potter,2020-04-22,56,
Potter,2020-04-23,49,
Potter,2020-04-24,50,
Potter,2020-04-25,64,
Potter,2020-04-26,38,
Potter,2020-04-27,17,
Potter,2020-04-28,124,
Potter,2020-04-29,88,
Potter,2020-04-30,74,
Potter,2020-05-01,71,
Potter,2020-05-02,68,31
Potter,2020-05-03,37,
Potter,2020-05-04,60,
Potter,2020-05-05,74,
Potter,2020-05-06,38,
Potter,2020-05-07,672,
Potter,2020-05-08,107,
Potter,2020-05-09,127,
Potter,2020-05-10,31,
Potter,2020-05-11,1,
Potter,2020-05-12,30,
Potter,2020-05-13,17,
Potter,2020-05-14,25,
Potter,2020-05-15,36,
Potter,2020-05-16,31,
Potter,2020-05-17,21,
Potter,2020-05-18,3,
Potter,2020-05-19,252,
Potter,2020-05-20,17,
Potter,2020-05-21,24,
Potter,2020-05-22,118,
Potter,2020-05-23,47,
Potter,2020-05-24,9,
Potter,2020-05-25,12,
Potter,2020-05-26,7,
Potter,2020-05-27,18,
Potter,2020-05-28,10,
Potter,2020-05-29,4,
Potter,2020-05-30,8,
Potter,2020-05-31,3,
Potter,2020-06-01,3,
Potter,2020-06-02,8,8
Potter,2020-06-03,3,
Potter,2020-06-04,7,
Potter,2020-06-05,3,
Potter,2020-06-06,1,
Potter,2020-06-07,1,
Potter,2020-06-09,6,
Potter,2020-06-10,3,
Potter,2020-06-11,1,
Potter,2020-06-12,6,
Potter,2020-06-13,7,
Potter,2020-06-14,2,
Potter,2020-06-15,1,
Potter,2020-06-16,10,
Potter,2020-06-17,6,
Potter,2020-06-18,5,
Potter,2020-06-19,12,
Potter,2020-06-20,12,
Potter,2020-06-21,2,
Potter,2020-06-22,3,
Potter,2020-06-23,13,
Potter,2020-06-24,12,
Potter,2020-06-25,14,
Potter,2020-06-26,19,
Potter,2020-06-27,18,
Potter,2020-06-28,5,
Potter,2020-06-29,2,
Potter,2020-06-30,26,
Potter,2020-07-01,21,
Potter,2020-07-02,30,6
Potter,2020-07-03,23,
Potter,2020-07-04,10,
Potter,2020-07-05,6,
Potter,2020-07-06,9,
Potter,2020-07-07,28,
Potter,2020-07-08,32,
Potter,2020-07-09,36,
Potter,2020-07-10,27,
Potter,2020-07-11,22,
Potter,2020-07-12,5,
Potter,2020-07-13,9,
Potter,2020-07-14,39,
Potter,2020-07-15,23,
Potter,2020-07-16,26,
Potter,2020-07-17,16,
Potter,2020-07-18,20,
