County,Date,cases_daily
Galveston,2020-03-13,1
Galveston,2020-03-15,2
Galveston,2020-03-16,2
Galveston,2020-03-17,2
Galveston,2020-03-18,4
Galveston,2020-03-19,3
Galveston,2020-03-20,8
Galveston,2020-03-21,8
Galveston,2020-03-22,2
Galveston,2020-03-23,9
Galveston,2020-03-24,11
Galveston,2020-03-25,9
Galveston,2020-03-26,24
Galveston,2020-03-27,13
Galveston,2020-03-28,11
Galveston,2020-03-29,6
Galveston,2020-03-30,11
Galveston,2020-03-31,9
Galveston,2020-04-01,62
Galveston,2020-04-02,31
Galveston,2020-04-03,21
Galveston,2020-04-04,12
Galveston,2020-04-05,7
Galveston,2020-04-06,23
Galveston,2020-04-07,11
Galveston,2020-04-08,29
Galveston,2020-04-09,20
Galveston,2020-04-10,45
Galveston,2020-04-11,4
Galveston,2020-04-12,3
Galveston,2020-04-13,19
Galveston,2020-04-14,12
Galveston,2020-04-15,9
Galveston,2020-04-16,15
Galveston,2020-04-17,14
Galveston,2020-04-18,12
Galveston,2020-04-19,3
Galveston,2020-04-20,12
Galveston,2020-04-21,28
Galveston,2020-04-22,11
Galveston,2020-04-23,14
Galveston,2020-04-24,12
Galveston,2020-04-25,1
Galveston,2020-04-26,6
Galveston,2020-04-27,13
Galveston,2020-04-28,4
Galveston,2020-04-29,8
Galveston,2020-04-30,18
Galveston,2020-05-01,27
Galveston,2020-05-02,3
Galveston,2020-05-04,6
Galveston,2020-05-05,10
Galveston,2020-05-06,5
Galveston,2020-05-07,1
Galveston,2020-05-08,6
Galveston,2020-05-10,1
Galveston,2020-05-11,4
Galveston,2020-05-12,11
Galveston,2020-05-13,2
Galveston,2020-05-14,4
Galveston,2020-05-15,4
Galveston,2020-05-16,4
Galveston,2020-05-17,4
Galveston,2020-05-18,13
Galveston,2020-05-19,4
Galveston,2020-05-20,12
Galveston,2020-05-21,7
Galveston,2020-05-22,37
Galveston,2020-05-23,6
Galveston,2020-05-24,4
Galveston,2020-05-25,4
Galveston,2020-05-26,14
Galveston,2020-05-27,19
Galveston,2020-05-28,11
Galveston,2020-05-29,14
Galveston,2020-05-30,14
Galveston,2020-05-31,7
Galveston,2020-06-01,21
Galveston,2020-06-02,23
Galveston,2020-06-03,30
Galveston,2020-06-04,36
Galveston,2020-06-05,30
Galveston,2020-06-06,27
Galveston,2020-06-07,14
Galveston,2020-06-08,31
Galveston,2020-06-09,43
Galveston,2020-06-10,59
Galveston,2020-06-11,77
Galveston,2020-06-12,95
Galveston,2020-06-13,76
Galveston,2020-06-14,49
Galveston,2020-06-15,91
Galveston,2020-06-16,96
Galveston,2020-06-17,113
Galveston,2020-06-18,148
Galveston,2020-06-19,164
Galveston,2020-06-20,103
Galveston,2020-06-21,93
Galveston,2020-06-22,239
Galveston,2020-06-23,240
Galveston,2020-06-24,266
Galveston,2020-06-25,218
Galveston,2020-06-26,226
Galveston,2020-06-27,190
Galveston,2020-06-28,144
Galveston,2020-06-29,280
Galveston,2020-06-30,307
Galveston,2020-07-01,352
Galveston,2020-07-02,302
Galveston,2020-07-03,324
Galveston,2020-07-04,66
Galveston,2020-07-05,142
Galveston,2020-07-06,339
Galveston,2020-07-07,351
Galveston,2020-07-08,261
Galveston,2020-07-09,278
Galveston,2020-07-10,231
Galveston,2020-07-11,140
Galveston,2020-07-12,100
Galveston,2020-07-13,210
Galveston,2020-07-14,226
Galveston,2020-07-15,200
Galveston,2020-07-16,177
Galveston,2020-07-17,162
Galveston,2020-07-18,96
Galveston,2020-07-19,128
Galveston,2020-07-20,131
Galveston,2020-07-21,137
Galveston,2020-07-22,141
Galveston,2020-07-23,125
Galveston,2020-07-24,114
Galveston,2020-07-25,41
