County,Date,cases_daily,deaths_daily
Potter,2020-03-25,1,
Potter,2020-03-24,1,
Potter,2020-03-24,1,
Potter,2020-03-27,1,
Potter,2020-03-27,1,
Potter,2020-03-28,1,
Potter,2020-03-28,1,
Potter,2020-03-28,1,
Potter,2020-03-31,2,
Potter,2020-03-31,1,
Potter,2020-03-31,1,
Potter,2020-03-31,1,
Potter,2020-03-31,1,
Potter,2020-03-31,1,
Potter,2020-03-30,1,
Potter,2020-04-01,1,
Potter,2020-04-01,2,
Potter,2020-04-01,1,
Potter,2020-04-01,2,
Potter,2020-04-01,1,
Potter,2020-03-04,1,
Potter,2020-03-29,1,
Potter,2020-04-02,2,2
Potter,2020-04-02,2,3
Potter,2020-04-02,2,1
Potter,2020-04-02,2,1
Potter,2020-04-02,2,3
Potter,2020-04-02,2,1
Potter,2020-04-02,2,1
Potter,2020-04-02,2,1
Potter,2020-04-02,2,1
Potter,2020-04-02,4,2
Potter,2020-04-02,4,3
Potter,2020-04-02,4,1
Potter,2020-04-02,4,1
Potter,2020-04-02,4,3
Potter,2020-04-02,4,1
Potter,2020-04-02,4,1
Potter,2020-04-02,4,1
Potter,2020-04-02,4,1
Potter,2020-04-02,1,2
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,2
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,2
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,3
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-02,1,1
Potter,2020-04-24,2,
Potter,2020-04-24,2,
Potter,2020-04-24,4,
Potter,2020-04-24,4,
Potter,2020-04-24,7,
Potter,2020-04-24,5,
Potter,2020-04-24,1,
Potter,2020-04-24,5,
Potter,2020-04-24,1,
Potter,2020-04-24,8,
Potter,2020-04-24,4,
Potter,2020-04-24,4,
Potter,2020-04-24,1,
Potter,2020-04-24,1,
Potter,2020-04-24,1,
Potter,2020-04-25,1,
Potter,2020-04-25,8,
Potter,2020-04-25,12,
Potter,2020-04-25,6,
Potter,2020-04-25,6,
Potter,2020-04-25,2,
Potter,2020-04-25,4,
Potter,2020-04-25,3,
Potter,2020-04-25,4,
Potter,2020-04-25,7,
Potter,2020-04-25,7,
Potter,2020-04-25,1,
Potter,2020-04-25,3,
Potter,2020-04-23,1,
Potter,2020-04-23,1,
Potter,2020-04-23,4,
Potter,2020-04-23,5,
Potter,2020-04-23,6,
Potter,2020-04-23,9,
Potter,2020-04-23,6,
Potter,2020-04-23,1,
Potter,2020-04-23,1,
Potter,2020-04-23,6,
Potter,2020-04-23,3,
Potter,2020-04-23,2,
Potter,2020-04-23,4,
Potter,2020-03-22,1,
Potter,2020-04-27,5,
Potter,2020-04-27,4,
Potter,2020-04-27,1,
Potter,2020-04-27,3,
Potter,2020-04-27,1,
Potter,2020-04-27,1,
Potter,2020-04-27,1,
Potter,2020-04-27,1,
Potter,2020-04-28,13,
Potter,2020-04-28,12,
Potter,2020-04-28,21,
Potter,2020-04-28,2,
Potter,2020-04-28,4,
Potter,2020-04-28,9,
Potter,2020-04-28,9,
Potter,2020-04-28,5,
Potter,2020-04-28,17,
Potter,2020-04-28,7,
Potter,2020-04-28,13,
Potter,2020-04-28,7,
Potter,2020-04-28,2,
Potter,2020-04-28,2,
Potter,2020-04-28,1,
Potter,2020-04-26,4,
Potter,2020-04-26,3,
Potter,2020-04-26,4,
Potter,2020-04-26,7,
Potter,2020-04-26,4,
Potter,2020-04-26,3,
Potter,2020-04-26,1,
Potter,2020-04-26,6,
Potter,2020-04-26,3,
Potter,2020-04-26,2,
Potter,2020-04-26,1,
Potter,2020-04-21,4,
Potter,2020-04-21,3,
Potter,2020-04-21,9,
Potter,2020-04-21,5,
Potter,2020-04-21,2,
Potter,2020-04-21,3,
Potter,2020-04-21,1,
Potter,2020-04-21,5,
Potter,2020-04-21,1,
Potter,2020-04-21,1,
Potter,2020-04-21,1,
Potter,2020-05-10,3,
Potter,2020-05-10,4,
Potter,2020-05-10,3,
Potter,2020-05-10,2,
Potter,2020-05-10,1,
Potter,2020-05-10,4,
Potter,2020-05-10,4,
Potter,2020-05-10,1,
Potter,2020-05-10,3,
Potter,2020-05-10,1,
Potter,2020-05-10,1,
Potter,2020-05-10,1,
Potter,2020-05-10,2,
Potter,2020-05-10,1,
Potter,2020-04-18,7,
Potter,2020-04-18,2,
Potter,2020-04-18,2,
Potter,2020-04-18,3,
Potter,2020-04-18,4,
Potter,2020-04-18,1,
Potter,2020-04-18,3,
Potter,2020-04-18,1,
Potter,2020-04-18,2,
Potter,2020-04-18,1,
Potter,2020-04-16,1,
Potter,2020-04-16,1,
Potter,2020-04-16,1,
Potter,2020-04-16,3,
Potter,2020-04-16,1,
Potter,2020-04-16,2,
Potter,2020-04-16,1,
Potter,2020-04-16,1,
Potter,2020-04-16,5,
Potter,2020-04-16,1,
Potter,2020-04-17,1,
Potter,2020-04-17,2,
Potter,2020-04-17,4,
Potter,2020-04-17,2,
Potter,2020-04-17,1,
Potter,2020-04-17,5,
Potter,2020-04-17,2,
Potter,2020-04-17,3,
Potter,2020-04-17,5,
Potter,2020-04-17,2,
Potter,2020-04-17,1,
Potter,2020-04-20,1,
Potter,2020-04-20,1,
Potter,2020-04-20,1,
Potter,2020-04-20,4,
Potter,2020-04-20,1,
Potter,2020-04-22,5,
Potter,2020-04-22,4,
Potter,2020-04-22,7,
Potter,2020-04-22,3,
Potter,2020-04-22,8,
Potter,2020-04-22,5,
Potter,2020-04-22,3,
Potter,2020-04-22,4,
Potter,2020-04-22,6,
Potter,2020-04-22,1,
Potter,2020-04-22,5,
Potter,2020-04-22,1,
Potter,2020-04-22,1,
Potter,2020-04-22,1,
Potter,2020-04-22,2,
Potter,2020-04-19,1,
Potter,2020-04-19,2,
Potter,2020-04-19,1,
Potter,2020-04-19,2,
Potter,2020-04-19,2,
Potter,2020-04-08,1,
Potter,2020-04-08,1,
Potter,2020-04-08,1,
Potter,2020-04-08,1,
Potter,2020-04-09,1,
Potter,2020-04-09,1,
Potter,2020-04-09,2,
Potter,2020-04-09,1,
Potter,2020-04-10,1,
Potter,2020-04-10,2,
Potter,2020-04-11,1,
Potter,2020-04-11,2,
Potter,2020-04-11,1,
Potter,2020-04-11,1,
Potter,2020-04-11,2,
Potter,2020-04-11,1,
Potter,2020-04-07,1,
Potter,2020-04-07,2,
Potter,2020-04-07,1,
Potter,2020-04-07,1,
Potter,2020-04-07,3,
Potter,2020-04-14,2,
Potter,2020-04-14,2,
Potter,2020-04-14,1,
Potter,2020-04-14,2,
Potter,2020-04-14,1,
Potter,2020-04-14,2,
Potter,2020-04-14,1,
Potter,2020-04-14,1,
Potter,2020-04-14,2,
Potter,2020-04-14,1,
Potter,2020-04-15,3,
Potter,2020-04-15,2,
Potter,2020-04-15,1,
Potter,2020-04-15,1,
Potter,2020-04-15,1,
Potter,2020-04-15,1,
Potter,2020-04-13,2,
Potter,2020-04-13,1,
Potter,2020-04-13,1,
Potter,2020-04-13,1,
Potter,2020-04-13,1,
Potter,2020-04-03,2,
Potter,2020-04-03,1,
Potter,2020-04-03,2,
Potter,2020-04-03,1,
Potter,2020-04-03,1,
Potter,2020-04-03,3,
Potter,2020-04-03,1,
Potter,2020-04-03,1,
Potter,2020-04-05,1,
Potter,2020-04-05,1,
Potter,2020-04-04,1,
Potter,2020-04-04,1,
Potter,2020-04-04,1,
Potter,2020-04-04,1,
Potter,2020-05-02,7,1
Potter,2020-05-02,7,6
Potter,2020-05-02,7,1
Potter,2020-05-02,7,2
Potter,2020-05-02,7,4
Potter,2020-05-02,7,1
Potter,2020-05-02,7,5
Potter,2020-05-02,7,1
Potter,2020-05-02,7,3
Potter,2020-05-02,7,8
Potter,2020-05-02,7,1
Potter,2020-05-02,7,1
Potter,2020-05-02,7,1
Potter,2020-05-02,7,6
Potter,2020-05-02,7,1
Potter,2020-05-02,7,2
Potter,2020-05-02,7,4
Potter,2020-05-02,7,1
Potter,2020-05-02,7,5
Potter,2020-05-02,7,1
Potter,2020-05-02,7,3
Potter,2020-05-02,7,8
Potter,2020-05-02,7,1
Potter,2020-05-02,7,1
Potter,2020-05-02,2,1
Potter,2020-05-02,2,6
Potter,2020-05-02,2,1
Potter,2020-05-02,2,2
Potter,2020-05-02,2,4
Potter,2020-05-02,2,1
Potter,2020-05-02,2,5
Potter,2020-05-02,2,1
Potter,2020-05-02,2,3
Potter,2020-05-02,2,8
Potter,2020-05-02,2,1
Potter,2020-05-02,2,1
Potter,2020-05-02,4,1
Potter,2020-05-02,4,6
Potter,2020-05-02,4,1
Potter,2020-05-02,4,2
Potter,2020-05-02,4,4
Potter,2020-05-02,4,1
Potter,2020-05-02,4,5
Potter,2020-05-02,4,1
Potter,2020-05-02,4,3
Potter,2020-05-02,4,8
Potter,2020-05-02,4,1
Potter,2020-05-02,4,1
Potter,2020-05-02,5,1
Potter,2020-05-02,5,6
Potter,2020-05-02,5,1
Potter,2020-05-02,5,2
Potter,2020-05-02,5,4
Potter,2020-05-02,5,1
Potter,2020-05-02,5,5
Potter,2020-05-02,5,1
Potter,2020-05-02,5,3
Potter,2020-05-02,5,8
Potter,2020-05-02,5,1
Potter,2020-05-02,5,1
Potter,2020-05-02,11,1
Potter,2020-05-02,11,6
Potter,2020-05-02,11,1
Potter,2020-05-02,11,2
Potter,2020-05-02,11,4
Potter,2020-05-02,11,1
Potter,2020-05-02,11,5
Potter,2020-05-02,11,1
Potter,2020-05-02,11,3
Potter,2020-05-02,11,8
Potter,2020-05-02,11,1
Potter,2020-05-02,11,1
Potter,2020-05-02,7,1
Potter,2020-05-02,7,6
Potter,2020-05-02,7,1
Potter,2020-05-02,7,2
Potter,2020-05-02,7,4
Potter,2020-05-02,7,1
Potter,2020-05-02,7,5
Potter,2020-05-02,7,1
Potter,2020-05-02,7,3
Potter,2020-05-02,7,8
Potter,2020-05-02,7,1
Potter,2020-05-02,7,1
Potter,2020-05-02,3,1
Potter,2020-05-02,3,6
Potter,2020-05-02,3,1
Potter,2020-05-02,3,2
Potter,2020-05-02,3,4
Potter,2020-05-02,3,1
