County,Date,cases_daily,deaths_daily
Randall,2020-03-18,1,
Randall,2020-03-18,1,
Randall,2020-03-25,1,
Randall,2020-03-28,1,
Randall,2020-03-28,1,
Randall,2020-03-26,1,
Randall,2020-04-01,2,
Randall,2020-04-01,1,
Randall,2020-04-01,1,
Randall,2020-04-01,1,
Randall,2020-04-01,1,
Randall,2020-03-30,1,
Randall,2020-03-31,1,
Randall,2020-03-31,1,
Randall,2020-03-31,1,
Randall,2020-03-31,1,
Randall,2020-03-31,2,
Randall,2020-03-31,1,
Randall,2020-03-31,1,
Randall,2020-03-31,1,
Randall,2020-04-03,1,
Randall,2020-04-03,2,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-03,1,
Randall,2020-04-02,1,2
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,2
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,2
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,2
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,2
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,3
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-02,1,1
Randall,2020-04-24,2,
Randall,2020-04-24,4,
Randall,2020-04-24,3,
Randall,2020-04-24,1,
Randall,2020-04-24,1,
Randall,2020-04-24,2,
Randall,2020-04-24,1,
Randall,2020-04-24,1,
Randall,2020-04-24,1,
Randall,2020-04-24,1,
Randall,2020-04-04,2,
Randall,2020-04-04,1,
Randall,2020-04-04,1,
Randall,2020-04-23,1,
Randall,2020-04-23,1,
Randall,2020-04-23,1,
Randall,2020-04-23,2,
Randall,2020-04-23,2,
Randall,2020-04-23,2,
Randall,2020-04-23,1,
Randall,2020-04-23,2,
Randall,2020-04-23,2,
Randall,2020-04-23,2,
Randall,2020-04-25,1,
Randall,2020-04-25,1,
Randall,2020-04-25,1,
Randall,2020-04-25,3,
Randall,2020-04-25,2,
Randall,2020-04-25,1,
Randall,2020-04-25,2,
Randall,2020-04-25,2,
Randall,2020-04-25,2,
Randall,2020-04-25,2,
Randall,2020-04-25,1,
Randall,2020-04-25,1,
Randall,2020-04-25,1,
Randall,2020-04-26,2,
Randall,2020-04-26,2,
Randall,2020-04-26,1,
Randall,2020-04-26,2,
Randall,2020-04-26,1,
Randall,2020-04-26,1,
Randall,2020-04-22,1,
Randall,2020-04-22,1,
Randall,2020-04-22,3,
Randall,2020-04-22,1,
Randall,2020-04-22,5,
Randall,2020-04-22,1,
Randall,2020-04-27,1,
Randall,2020-04-27,1,
Randall,2020-04-27,1,
Randall,2020-04-28,5,
Randall,2020-04-28,5,
Randall,2020-04-28,1,
Randall,2020-04-28,1,
Randall,2020-04-28,1,
Randall,2020-04-28,1,
Randall,2020-04-28,4,
Randall,2020-04-28,2,
Randall,2020-04-28,2,
Randall,2020-04-28,1,
Randall,2020-04-28,3,
Randall,2020-04-18,2,
Randall,2020-04-18,1,
Randall,2020-04-18,2,
