County,Date,cases_cumulative,deaths_cumulative
Travis,2020-03-13,3,0
Travis,2020-03-14,0,0
Travis,2020-03-15,0,0
Travis,2020-03-16,6,0
Travis,2020-03-17,17,0
Travis,2020-03-18,24,0
Travis,2020-03-19,41,0
Travis,2020-03-20,58,0
Travis,2020-03-21,60,0
Travis,2020-03-22,79,0
Travis,2020-03-23,86,0
Travis,2020-03-24,98,0
Travis,2020-03-25,119,0
Travis,2020-03-26,137,0
Travis,2020-03-27,160,1
Travis,2020-03-28,179,1
Travis,2020-03-29,200,1
Travis,2020-03-30,206,2
Travis,2020-03-31,244,2
Travis,2020-04-01,305,3
Travis,2020-04-02,351,3
Travis,2020-04-03,430,4
Travis,2020-04-04,460,6
Travis,2020-04-05,484,6
Travis,2020-04-06,502,6
Travis,2020-04-07,554,7
Travis,2020-04-08,597,7
Travis,2020-04-09,642,7
Travis,2020-04-10,690,9
Travis,2020-04-11,744,9
Travis,2020-04-12,774,9
Travis,2020-04-13,856,11
Travis,2020-04-14,900,14
Travis,2020-04-15,977,17
Travis,2020-04-16,1029,18
Travis,2020-04-17,1074,21
Travis,2020-04-18,1092,23
Travis,2020-04-19,1108,25
Travis,2020-04-20,1174,26
Travis,2020-04-21,1233,27
Travis,2020-04-22,1263,28
Travis,2020-04-23,1312,31
Travis,2020-04-24,1379,32
Travis,2020-04-25,1396,36
Travis,2020-04-26,1412,39
Travis,2020-04-27,1464,42
Travis,2020-04-28,1539,42
Travis,2020-04-29,1591,44
Travis,2020-04-30,1654,47
Travis,2020-05-01,1683,51
Travis,2020-05-02,1714,51
Travis,2020-05-03,1756,52
Travis,2020-05-04,1816,53
Travis,2020-05-05,1876,58
Travis,2020-05-06,1946,57
Travis,2020-05-07,2002,59
Travis,2020-05-08,2071,60
Travis,2020-05-09,2095,60
Travis,2020-05-10,2127,60
Travis,2020-05-11,2171,65
Travis,2020-05-12,2235,71
Travis,2020-05-13,2288,72
Travis,2020-05-14,2345,74
Travis,2020-05-15,2381,77
Travis,2020-05-16,2425,77
Travis,2020-05-17,2459,77
Travis,2020-05-18,2537,79
Travis,2020-05-19,2595,81
Travis,2020-05-20,2644,82
Travis,2020-05-21,2712,83
Travis,2020-05-22,2761,83
Travis,2020-05-23,2788,83
Travis,2020-05-24,2847,84
Travis,2020-05-25,2933,85
Travis,2020-05-26,2984,88
Travis,2020-05-27,3057,91
Travis,2020-05-28,3124,92
Travis,2020-05-29,3186,93
Travis,2020-05-30,3232,93
Travis,2020-05-31,3272,93
Travis,2020-06-01,3360,93
Travis,2020-06-02,3433,93
Travis,2020-06-03,3501,95
Travis,2020-06-04,3562,95
Travis,2020-06-05,3616,97
Travis,2020-06-06,3662,97
Travis,2020-06-07,3697,97
Travis,2020-06-08,3815,98
Travis,2020-06-09,3976,99
Travis,2020-06-10,4109,99
Travis,2020-06-11,4238,101
Travis,2020-06-12,4314,104
Travis,2020-06-13,4461,104
Travis,2020-06-14,4545,104
Travis,2020-06-15,4664,106
Travis,2020-06-16,4771,106
Travis,2020-06-17,4991,108
Travis,2020-06-18,0,0
Travis,2020-06-19,5286,108
Travis,2020-06-20,5704,109
Travis,2020-06-21,6210,110
Travis,2020-06-22,6339,112
Travis,2020-06-23,6596,114
Travis,2020-06-24,6914,116
Travis,2020-06-25,7097,116
Travis,2020-06-26,0,0
Travis,2020-06-27,7825,117
Travis,2020-06-28,8461,117
Travis,2020-06-29,8969,121
Travis,2020-06-30,9527,124
Travis,2020-07-01,10124,128
Travis,2020-07-02,10695,133
Travis,2020-07-03,11009,134
Travis,2020-07-04,11131,136
Travis,2020-07-05,11679,137
Travis,2020-07-06,11926,144
Travis,2020-07-07,12408,151
Travis,2020-07-08,13161,159
Travis,2020-07-09,13864,159
Travis,2020-07-10,14304,166
Travis,2020-07-11,14622,168
Travis,2020-07-12,14788,169
Travis,2020-07-13,15445,172
Travis,2020-07-14,15998,179
Travis,2020-07-15,16570,183
Travis,2020-07-16,16983,189
Travis,2020-07-17,17215,196
Travis,2020-07-18,17454,203
Travis,2020-07-19,17646,203
Travis,2020-07-20,17791,209
Travis,2020-07-21,18394,218
Travis,2020-07-22,18696,222
Travis,2020-07-23,18939,229
Travis,2020-07-24,19177,241
