County,Date,viral_copies_per_ml,viral_copies_per_ml_rolling
Dallas,2021-07-28,67.32341858586715,69.5626751129113
Dallas,2021-08-04,78.51970122108786,97.86780240819182
Dallas,2021-08-11,205.8045909789324,200.69528897893576
Dallas,2021-08-18,302.4336687367973,283.1078531852243
Dallas,2022-06-01,,
Dallas,2022-06-08,266.1628327769572,252.4675746962142
Dallas,2022-06-15,197.68654237324225,232.3761424113931
Dallas,2022-06-22,337.3478521984324,305.58248427459404
Dallas,2022-06-29,286.4169544805925,307.1793974154773
Dallas,2022-07-06,360.0607143720617,355.53946160294026
Dallas,2022-07-13,406.5769576488025,401.5606614881909
Dallas,2022-07-20,422.9954239618736,433.3057665106566
Dallas,2022-07-27,501.2759455676429,467.71163930156825
Dallas,2022-08-03,378.1706295769644,399.8062852032585
Dallas,2022-08-10,384.8792473440504,363.126375573477
Dallas,2022-08-17,261.0706344876961,291.9740264564041
Dallas,2022-08-24,322.6823734435898,330.47352652674
Dallas,2022-08-31,431.0410308983844,427.4721125735594
Dallas,2022-09-07,517.9861784042293,466.72942857865
Dallas,2022-09-14,297.3908269565984,304.4957357205837
Dallas,2022-09-21,119.42492809287904,158.79166312039897
Dallas,2022-09-28,177.65943939427925,167.63428233868956
Dallas,2022-10-05,175.74300836214132,179.48131805390838
Dallas,2022-10-12,196.2564354806058,185.45571450252604
Dallas,2022-10-19,151.96553673059185,155.35124164542734
Dallas,2022-10-26,127.98886746959091,142.53700101031248
Dallas,2022-11-02,191.30099945291937,171.75176356314864
Dallas,2022-11-09,137.3177160976235,161.03863743635716
Dallas,2022-11-16,225.65996077472963,213.59068324599653
Dallas,2022-11-23,241.5865402794369,275.1013679804275
Dallas,2022-11-30,458.60208599008746,400.5164197958677
Dallas,2022-12-07,327.1036345354193,387.73058294447736
Dallas,2022-12-14,559.3668735350992,498.7020873180286
Dallas,2022-12-21,427.6413952323557,460.37245745804427
Dallas,2022-12-28,492.3022902837437,473.60541903245047
Dallas,2023-01-04,444.78195782737225,429.05234035032737
Dallas,2023-01-11,302.8839205087315,344.9903629258609
Dallas,2023-01-18,413.6245376928672,383.7468444070452
Dallas,2023-01-25,345.0989951620709,350.8029398325991
Dallas,2023-02-01,310.7971206544441,332.28014305034384
Dallas,2023-02-08,405.3933805222157,376.35349042305785
Dallas,2023-02-15,325.7502997950404,322.0079110090992
Dallas,2023-02-22,223.652886352218,245.3131693352976
Dallas,2023-03-01,251.51717080787336,236.0811026291988
Dallas,2023-03-08,186.76504619148145,191.79129216256183
Dallas,2023-03-15,152.17039740157168,180.51105767449823
Dallas,2023-03-22,287.6197102492212,243.47209749714776
Dallas,2023-03-29,158.1833465844301,173.04276662077197
Dallas,2023-04-05,117.9035031376903,130.45116330495443
Dallas,2023-04-12,152.90962069453536,137.45379235255209
Dallas,2023-04-19,95.18076819948064,106.73429691202496
Dallas,2023-04-26,106.77308797969177,106.45144703870926
Dallas,2023-05-03,116.43556211400788,114.69140714911634
Dallas,2023-05-10,115.6331064589748,115.45218629327634
Dallas,2023-05-17,113.74512980975096,114.12272513959574
El Paso,2022-06-29,389.9163893858537,391.3808192118576
El Paso,2022-07-06,397.2385385158735,414.5150650256501
El Paso,2022-07-13,508.2198467045533,488.8916718488838
El Paso,2022-07-20,503.23210575921627,490.58348763788143
El Paso,2022-07-27,422.3526560858701,438.3191930085167
El Paso,2022-08-03,437.2724279484032,419.214481151339
El Paso,2022-08-10,343.84451902855096,348.552047120768
El Paso,2022-08-17,278.6617786620009,274.2259439417702
El Paso,2022-08-24,186.8640299740665,198.4695469465771
El Paso,2022-08-31,164.69938312119552,158.67240533801404
El Paso,2022-09-07,106.37286956923556,113.5427587397346
El Paso,2022-09-14,91.06569104026984,90.0384160117532
El Paso,2022-09-28,69.59486234020437,75.17467181790799
El Paso,2022-10-05,81.60289050636065,79.05155370777094
El Paso,2022-10-12,78.30289788097858,78.396012875216
El Paso,2022-10-19,75.56159522102101,77.84443736978996
El Paso,2022-10-26,86.51734545367721,93.06106947385918
El Paso,2022-11-02,136.73543980742517,150.3391973200631
El Paso,2022-11-09,268.5760792370007,268.89108562441595
El Paso,2022-11-16,402.3067569910676,394.025375389416
El Paso,2022-11-23,486.3491451352243,490.65951186121896
El Paso,2022-11-30,596.2537336353488,557.431204459171
El Paso,2022-12-07,473.22314707840616,503.3032892446722
El Paso,2022-12-14,530.6734135190597,497.8686451402961
El Paso,2022-12-21,391.2950696871311,410.40252156788114
El Paso,2022-12-28,366.5614371397028,351.60867165370723
El Paso,2023-01-04,252.11121167630137,264.45434974973983
El Paso,2023-01-11,211.7198146535308,216.65867266097385
El Paso,2023-01-18,200.96156567541857,197.9692499172819
El Paso,2023-01-25,172.24942214848636,170.93203735347333
El Paso,2023-02-01,135.63296985147605,148.20795071261264
El Paso,2023-02-08,174.46640272128533,164.30947175912158
El Paso,2023-02-15,152.35824981811209,160.87067962840584
El Paso,2023-02-22,181.3246757767014,174.52653989813825
El Paso,2023-03-01,169.50228646391173,168.24035078931607
El Paso,2023-03-08,150.10828310354813,157.88700520127026
El Paso,2023-03-15,177.3866123295173,180.61203137433344
El Paso,2023-03-22,224.01745582438312,206.4183586928406
El Paso,2023-03-29,165.0537165299939,183.52667061047345
El Paso,2023-04-05,216.92770171848187,205.28819569381733
El Paso,2023-04-12,198.9646507589825,192.38203224921088
El Paso,2023-04-19,141.5058887408536,151.17183298340083
El Paso,2023-04-26,142.04279217800826,141.07288472708743
El Paso,2023-05-03,136.76025090963805,130.55281320115353
El Paso,2023-05-10,94.23308339036072,107.0369497744835
El Paso,2023-05-17,128.52911417582015,121.66990801872824
Galveston,2022-08-31,1871.6280180794529,1562.785433687049
Galveston,2022-09-07,327.4150961174326,600.8767434460573
Galveston,2022-09-14,423.9720581271607,367.6680975453158
Galveston,2022-09-28,182.7052566458197,226.69617480300545
Galveston,2022-10-05,205.38396410759304,199.3258960835303
Galveston,2022-10-12,191.7142634249898,178.0586615313713
Galveston,2022-10-19,96.1109513806758,105.31446508122929
Galveston,2022-10-26,55.72872153968248,75.15858455418578
Galveston,2022-11-02,131.925669785709,109.08657845336631
Galveston,2022-11-09,71.08807003767942,94.80726751046382
Galveston,2022-11-16,152.5656551263562,180.80367732525136
Galveston,2022-11-30,403.4713734084039,344.8354585650945
Galveston,2022-12-07,302.56160263059496,333.42757617794786
Galveston,2022-12-14,386.84767313690327,355.52581252133604
Galveston,2022-12-21,283.20257994980807,324.46831889670494
Galveston,2022-12-28,427.151920444094,409.2155963947643
Galveston,2023-01-04,463.48331664240175,430.6562125124072
Galveston,2023-01-11,302.85208806074195,303.860397835485
Galveston,2023-01-18,148.27071812754042,195.8305808494092
Galveston,2023-01-25,279.0485245255517,261.9398127145018
Galveston,2023-02-01,307.17406005726343,327.912770543935
Galveston,2023-02-08,459.7318585090044,384.2100265060717
Galveston,2023-02-15,159.15866494314918,213.30875434886292
Galveston,2023-02-22,183.48600781157663,181.40831209109967
Galveston,2023-03-01,195.34717635714216,176.31320265534305
Galveston,2023-03-08,93.00450269191305,116.2759529502748
Galveston,2023-03-15,130.2905305768545,133.20684935006855
Galveston,2023-03-22,185.0744711010801,174.34143531840087
Galveston,2023-03-29,175.46019692923034,158.9737364870733
Galveston,2023-04-05,66.9271601044384,82.79359281065915
Galveston,2023-04-12,53.59271951697101,56.53036830465339
Galveston,2023-04-19,57.88417165559791,67.74206104361078
Galveston,2023-04-26,121.322960122302,107.42346012484823
Galveston,2023-05-03,101.36474860428356,120.45690662788972
Galveston,2023-05-10,195.9594852279021,164.75070729197807
Galveston,2023-05-17,103.30155423597635,121.83314043436152
Kaufman,2021-06-09,14.79130067302157,17.711081288376807
Kaufman,2021-06-16,29.390203749797752,32.76291991329414
Kaufman,2021-06-23,64.22540380755225,50.74674957840892
Kaufman,2021-06-30,18.188678490446723,29.577128652686568
Kaufman,2021-07-07,40.48265414678029,35.44799082039156
Kaufman,2021-07-14,32.56864984478149,52.96454120454039
Kaufman,2021-07-21,147.02999370133614,252.3393045961635
Kaufman,2021-07-28,893.3472029268547,677.9428788014181
Kaufman,2021-08-04,347.238467399754,437.6099382034621
Kaufman,2021-08-11,343.35855669490184,379.80465635789307
Kaufman,2021-08-18,558.1552439679972,515.1959065133781
Kaufman,2022-01-19,,
Kaufman,2022-01-26,291.970898383354,285.4339222406273
Kaufman,2022-02-02,259.2860176697204,238.786367492747
Kaufman,2022-02-09,103.60323589424648,127.2877650278615
Kaufman,2022-02-16,90.02762892046263,81.98508099596772
Kaufman,2022-02-23,28.196734399709296,36.1961458393721
Kaufman,2022-03-02,14.36230851693278,17.069264880611385
Kaufman,2022-03-09,16.7696208162279,15.82948395951566
Kaufman,2022-03-23,13.53611197524959,15.531692776930145
Kaufman,2022-04-06,22.2760879443546,20.19381423116833
Kaufman,2022-04-13,18.52242163434199,21.008024168811176
Kaufman,2022-04-20,29.6823705311445,31.44291927544436
Kaufman,2022-04-27,51.40561189374616,51.76438714008747
Kaufman,2022-05-04,75.28150473439567,69.86758546273406
Kaufman,2022-05-11,66.67388194507552,95.9509597052202
Kaufman,2022-05-18,233.7287257166236,200.317756962314
Kaufman,2022-06-08,230.38703217303387,230.38703217303387
Kaufman,2022-07-13,468.4181318871508,525.1296928774739
Kaufman,2022-07-20,751.975936838766,655.1102725572786
Kaufman,2022-07-27,454.3397561014567,509.6664090435141
Kaufman,2022-08-03,488.66349301649166,456.8941305783682
Kaufman,2022-08-10,332.37105530278586,351.3680834683324
Kaufman,2022-08-17,290.06078658235907,305.5385100728617
Kaufman,2022-08-24,340.6168588049478,327.4426596447447
Kaufman,2022-09-07,312.1277360663179,281.77445920371485
Kaufman,2022-09-21,101.51895215207,142.01188173363514
Kaufman,2022-09-28,133.867745727213,145.3722263455757
Kaufman,2022-10-12,235.24342301253228,191.5832633531653
Kaufman,2022-10-19,74.65814234165008,120.01274050565506
Kaufman,2022-10-26,186.2004506547977,181.2513504003266
Kaufman,2022-11-02,268.0481574411186,231.15692411110984
Kaufman,2022-11-09,128.54846424738687,182.3702952822422
Kaufman,2022-11-16,311.97975726278713,322.6693076670358
Kaufman,2022-11-23,559.5483527036796,518.0216849687744
Kaufman,2022-11-30,557.9569417351405,543.2822479603955
Kaufman,2022-12-07,468.31736811813096,538.6307055410718
Kaufman,2022-12-21,800.557819038767,699.6798817505006
Kaufman,2022-12-28,527.5306462298051,526.2439122919421
Kaufman,2023-01-04,246.7830697936656,318.6927557094123
Kaufman,2023-01-11,397.4936088520064,352.30382704386085
Kaufman,2023-01-18,277.0654570614741,307.31750824613766
Kaufman,2023-01-25,338.1496123789232,324.79835504760814
Kaufman,2023-02-01,319.12622370848203,299.5020417411672
Kaufman,2023-02-08,182.357743234152,220.9851100062914
Kaufman,2023-02-15,277.3534633926583,245.19422823535623
Kaufman,2023-02-22,179.39377260735236,202.8334349843253
Kaufman,2023-03-01,222.0720560838845,214.2212715422008
Kaufman,2023-03-08,217.64563231031423,199.2774666869268
Kaufman,2023-03-15,103.0102147964192,123.41219212549368
Kaufman,2023-03-29,110.78666125697112,113.9664703565257
Kaufman,2023-04-12,137.64196231485047,120.85162335492714
Kaufman,2023-04-19,63.755229613189854,73.11794466421293
Kaufman,2023-04-26,46.04478721766773,55.767325222608406
Kaufman,2023-05-03,86.66957285178967,76.40632883514841
Kaufman,2023-05-10,65.71489438606412,69.90583007920922
Tarrant,2022-11-30,522.0579131494364,520.3843687824973
Tarrant,2022-12-07,513.6901913147408,524.3565507172144
Tarrant,2022-12-14,569.3206258948866,537.0599142872294
Tarrant,2022-12-21,431.3867908290891,494.5522151658741
Tarrant,2022-12-28,672.4455017840021,609.0228095084066
Tarrant,2023-01-04,532.9680590853421,520.6669945184498
Tarrant,2023-01-11,319.6842289853273,402.864579500108
Tarrant,2023-01-18,605.4825019739965,511.9740028488647
Tarrant,2023-01-25,330.2297802118745,385.2803245642989
Tarrant,2023-02-22,274.4999454299347,305.0629333740104
Tarrant,2023-03-01,427.314885150313,384.5082178146079
Tarrant,2023-03-08,323.289820856461,321.4711534014552
Tarrant,2023-03-15,208.35275183257423,209.54397038565563
Tarrant,2023-03-22,100.56299412717584,123.18222939117878
Tarrant,2023-03-29,128.48864800579497,123.33063323464576
Tarrant,2023-04-12,125.4662132575188,116.10881345508048
Tarrant,2023-04-19,66.2993796946127,82.91516687057477
Tarrant,2023-04-26,106.827269187479,100.58104912067428
Tarrant,2023-05-03,109.87783827951688,114.24841947747558
Tarrant,2023-05-10,139.15189455930695,119.30504265337396
Tarrant,2023-05-17,49.344839403499,67.3062504346606
Travis,2021-06-23,71.4691708570206,61.67017208192023
Travis,2021-06-30,22.4741769815187,38.21431780416256
Travis,2021-07-07,67.92002804187989,64.91439883619962
Travis,2021-07-14,95.33210386815944,117.13103490561096
Travis,2021-07-21,253.5377659191481,248.3107904905648
Travis,2021-07-28,380.381575398637,343.65901118947426
Travis,2021-08-04,286.8899996231492,308.49504367712865
Travis,2021-08-11,323.028688171538,337.3983757651288
Travis,2021-08-18,445.3855022814713,420.9141394594846
Travis,2022-01-26,,
Travis,2022-02-02,263.25230549422474,230.5535294854771
Travis,2022-02-09,99.75842545048654,122.41144140205854
Travis,2022-02-16,72.18264111618036,87.22477802022952
Travis,2022-02-23,134.8596782061692,116.06711054897362
Travis,2022-03-02,84.78130935298456,85.08919877679276
Travis,2022-03-09,36.55027704264903,45.0737228448131
Travis,2022-03-16,39.459919545297936,44.468683752696926
Travis,2022-03-23,72.42214729234077,69.20220100102588
Travis,2022-03-30,86.06469729149427,86.79666425109002
Travis,2022-04-06,104.09904904822226,109.32673399256858
Travis,2022-04-13,153.49951047102817,135.6253285009898
Travis,2022-04-20,95.654880073604,116.197967892547
Travis,2022-04-27,161.06877658983797,151.94992950733285
Travis,2022-05-04,171.7695906110413,168.04482861057554
Travis,2022-05-11,160.12183262944993,186.6238022367843
Travis,2022-05-18,307.4858922918648,287.3813331208841
Travis,2022-05-25,334.22259692839555,351.02566180866387
Travis,2022-06-01,461.77769084653625,434.3934308755973
Travis,2022-06-08,425.0272249390432,448.3117722355382
Travis,2022-06-15,527.9840428105204,515.4247531911527
Travis,2022-06-22,555.5851229657912,538.2483709036782
Travis,2022-06-29,479.1656907483834,512.0262110539185
Travis,2022-07-06,599.9093803641861,571.7803761560264
Travis,2022-07-13,551.8790447310301,580.5075020315018
Travis,2022-07-20,675.6194529007045,624.2208304532045
Travis,2022-07-27,490.96812638537847,530.0842856971648
Travis,2022-08-03,541.0137557407704,517.2185435410642
Travis,2022-08-10,448.2881118979245,464.04182469696974
Travis,2022-08-17,450.08474484934993,423.93180568365005
Travis,2022-08-24,294.9637428065761,316.427089170584
Travis,2022-08-31,268.62281894784974,289.3674998352914
Travis,2022-09-07,366.7499804137735,343.05082479818134
Travis,2022-09-14,322.68220818614424,305.72938964231145
Travis,2022-09-28,176.89752469551817,209.739849655455
Travis,2022-10-05,228.16679096451307,241.3929286533169
Travis,2022-10-12,358.7928833663312,324.50468001920507
Travis,2022-10-19,283.6897556853925,272.03670262320054
Travis,2022-10-26,138.668309631302,207.12778875242049
Travis,2022-11-02,404.4037383039221,323.35651926025884
Travis,2022-11-09,183.8558527145625,265.113643663791
Travis,2022-11-16,450.85471282057375,397.3821595707124
Travis,2022-11-23,397.0182534274167,413.8480937581991
Travis,2022-11-30,444.1608360189545,451.2746517370151
Travis,2022-12-07,533.9863129188562,500.9886340428218
Travis,2022-12-14,425.825716562552,472.5055747346673
Travis,2022-12-21,597.7442692389395,589.9929967353818
Travis,2022-12-28,723.1551868939805,681.2874123296948
Travis,2023-01-04,597.3594571633076,592.9918674403312
Travis,2023-01-11,445.3581890947769,465.5906625052796
Travis,2023-01-18,414.7517614892624,426.6436855709588
Travis,2023-01-25,455.4968783739264,469.28372219347534
Travis,2023-02-01,578.9630581758843,522.5824982075197
Travis,2023-02-08,364.145878167655,389.57281911636665
Travis,2023-02-15,301.8903438516958,308.82799694289133
Travis,2023-02-22,281.2607280829099,280.0541755691161
Travis,2023-03-01,253.3917972313616,246.167619824514
Travis,2023-03-08,182.17780193872736,209.44158887972347
Travis,2023-03-15,274.5465282920698,252.23583721427187
Travis,2023-03-22,233.05110817862467,234.5490083597331
Travis,2023-03-29,200.54308915183023,192.85491170462464
Travis,2023-04-05,121.90600544180202,135.6280356877903
Travis,2023-04-12,125.60110320770328,119.5241419707525
Travis,2023-04-19,92.8344335518998,104.95700081870972
Travis,2023-04-26,132.8031674969559,135.9255463043792
Travis,2023-05-03,191.506174286552,185.9080631745533
Travis,2023-05-10,216.62051440415595,193.4407213500334
Travis,2023-05-17,102.65609619702472,125.44897983845097
Webb,2021-06-23,3.1314750921630683,3.2971165352978047
Webb,2021-06-30,3.959682307836752,7.624942863742738
Webb,2021-07-07,26.77945285894636,22.4147631007304
Webb,2021-07-14,23.41108486076023,29.86320865478375
Webb,2021-07-21,58.75545962671524,58.62895126154812
Webb,2021-07-28,93.34078420166752,77.0678686099302
Webb,2021-08-04,30.288615226195844,50.74603944491011
Webb,2021-08-11,89.98099156300975,77.16983326817778
Webb,2021-08-18,72.80641813083182,84.89247830975832
Webb,2021-08-25,128.1482057722129,117.07984824393668
Webb,2022-06-01,,
Webb,2022-06-08,174.98012960686677,180.2590220892704
Webb,2022-06-15,201.37459201888493,208.58187681387287
Webb,2022-06-22,271.01276320083065,246.0492342446336
Webb,2022-06-29,190.86976064559377,224.476722934602
Webb,2022-07-06,312.3685318244064,328.2210832455497
Webb,2022-07-13,528.9826115300791,472.5124730639743
Webb,2022-07-20,406.7758604391223,668.9650548362598
Webb,2022-07-27,1857.7042757309912,1364.8834750390977
Webb,2022-08-03,351.70788687149985,580.9471185430707
Webb,2022-08-10,221.14688804143344,241.5772317303521
Webb,2022-08-17,213.16795134487927,250.9833040491017
Webb,2022-08-24,432.0811308736596,379.2292195322049
Webb,2022-08-31,333.88284235371185,327.71604033822683
Webb,2022-09-07,198.6837417408542,251.66453347027343
Webb,2022-09-14,381.3693915045121,296.3405229162465
Webb,2022-09-28,53.88182973857653,106.90540091851972
Webb,2022-10-05,44.53569505230004,54.43535218714859
Webb,2022-10-12,94.58750317511485,77.5751703908373
Webb,2022-10-19,42.5653145922643,55.19144200133684
Webb,2022-10-26,66.299890463849,56.85455333481758
Webb,2022-11-02,33.362443561245186,46.60384469051692
Webb,2022-11-09,79.87340343427178,76.8560655041545
Webb,2022-11-16,108.28033572659464,102.46080581960123
Webb,2022-11-23,101.77008857695708,119.36811840239815
Webb,2022-11-30,200.848020379966,193.8067839565873
Webb,2022-12-07,257.6785336427029,256.4256614654708
Webb,2022-12-14,306.9918138420473,268.6405250501681
Webb,2022-12-21,126.1973612901164,211.31670776189029
Webb,2022-12-28,456.1189875688289,380.92137661020746
Webb,2023-01-04,334.8549480958126,336.25037983813803
Webb,2023-01-11,221.9634990767488,230.6885106297364
Webb,2023-01-18,161.42211937561035,174.2073794755457
Webb,2023-01-25,177.59230027408407,168.10898194053854
Webb,2023-02-01,136.86257117128454,139.0046959340954
Webb,2023-02-08,108.98559064535002,107.89317145618637
Webb,2023-02-15,74.55409498443349,90.55295062736649
Webb,2023-02-22,136.11573318111493,117.84087262184518
Webb,2023-03-01,88.02820802217789,89.46054329292606
Webb,2023-03-08,48.53469448772984,55.65232738112473
Webb,2023-03-15,51.74697831365112,53.25383164775735
Webb,2023-03-22,64.0003821442098,59.75125979635692
Webb,2023-03-29,50.7590518876512,59.018714227878576
Webb,2023-04-05,87.0756956724569,75.9946490840185
Webb,2023-04-12,56.90605992663223,63.38422309350617
Webb,2023-04-19,65.60540318205119,63.73025012080231
Webb,2023-04-26,63.05382806997687,59.50594137157467
Webb,2023-05-03,39.21493276748934,53.58833831954257
Webb,2023-05-10,101.61647077732124,88.95855247620075
Webb,2023-05-17,88.07049898043033,90.77969333980852
