County,County2,Date,sample_location,key_plot_id,population_served,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,,2022-06-26,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,-29.0,100.0
Bexar,,2022-06-26,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,84.0,-36.0,100.0
Bexar,,2022-06-26,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,82.5,3.0,100.0
Bexar,,2022-06-27,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,-29.0,100.0
Bexar,,2022-06-27,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,84.0,-36.0,100.0
Bexar,,2022-06-27,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,82.5,3.0,100.0
Bexar,,2022-06-28,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-06-28,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-06-28,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-06-29,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-06-29,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-06-29,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-06-30,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-06-30,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-06-30,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-07-01,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-07-01,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-07-01,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-07-02,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-07-02,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-07-02,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-07-03,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-07-03,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-07-03,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-07-04,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,90.0,-27.0,100.0
Bexar,,2022-07-04,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,88.333,71.0,100.0
Bexar,,2022-07-04,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.333,18.0,100.0
Bexar,,2022-07-05,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,14.0,100.0
Bexar,,2022-07-05,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-4.0,100.0
Bexar,,2022-07-05,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,21.0,100.0
Bexar,,2022-07-06,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-06,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-06,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-07,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-07,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-07,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-08,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-08,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-08,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-09,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-09,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-09,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.667,25.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.333,-14.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,91.0,26.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.667,25.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.333,-14.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,91.0,26.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-15,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
