Date,County,eff_conc_sarscov2_weekly_rolling,eff_conc_sarscov2_weekly
2021-06-09,Kaufman,17.7110812883768,14.7913006730216
2021-06-16,Kaufman,32.7629199132941,29.3902037497978
2021-06-23,Kaufman,50.7467495784089,64.2254038075523
2021-06-23,Travis,61.6701720819202,71.4691708570206
2021-06-23,Webb,3.2971165352978,3.13147509216307
2021-06-30,Kaufman,29.5771286526866,18.1886784904467
2021-06-30,Travis,38.2143178041626,22.4741769815187
2021-06-30,Webb,7.62494286374274,3.95968230783675
2021-07-07,Kaufman,35.4479908203916,40.4826541467803
2021-07-07,Travis,64.9143988361996,67.9200280418799
2021-07-07,Webb,22.4147631007304,26.7794528589464
2021-07-14,Kaufman,52.9645412045404,32.5686498447815
2021-07-14,Travis,117.131034905611,95.3321038681594
2021-07-14,Webb,29.8632086547838,23.4110848607602
2021-07-21,Kaufman,252.339304596164,147.029993701336
2021-07-21,Travis,248.310790490565,253.537765919148
2021-07-21,Webb,58.6289512615481,58.7554596267153
2021-07-28,Dallas,69.5626751129113,67.3234185858672
2021-07-28,Kaufman,677.942878801418,893.347202926855
2021-07-28,Travis,343.659011189474,380.381575398637
2021-07-28,Webb,77.0678686099302,93.3407842016675
2021-08-04,Dallas,97.8678024081918,78.5197012210879
2021-08-04,Kaufman,437.609938203462,347.238467399754
2021-08-04,Travis,308.495043677129,286.889999623149
2021-08-04,Webb,50.7460394449101,30.2886152261958
2021-08-11,Dallas,200.695288978936,205.804590978932
2021-08-11,Kaufman,379.804656357893,343.358556694902
2021-08-11,Travis,337.398375765129,323.028688171538
2021-08-11,Webb,77.1698332681778,89.9809915630098
2021-08-18,Dallas,283.107853185224,302.433668736797
2021-08-18,Kaufman,515.195906513378,558.155243967997
2021-08-18,Travis,420.914139459485,445.385502281471
2021-08-18,Webb,84.8924783097583,72.8064181308318
2021-08-25,Webb,117.079848243937,128.148205772213
2022-01-19,Kaufman,,
2022-01-26,Kaufman,285.433922240627,291.970898383354
2022-01-26,Travis,,
2022-02-02,Kaufman,238.786367492747,259.28601766972
2022-02-02,Travis,230.553529485477,263.252305494225
2022-02-09,Kaufman,127.287765027862,103.603235894246
2022-02-09,Travis,122.411441402059,99.7584254504866
2022-02-16,Kaufman,81.9850809959677,90.0276289204626
2022-02-16,Travis,87.2247780202295,72.1826411161804
2022-02-23,Kaufman,36.1961458393721,28.1967343997093
2022-02-23,Travis,110.963312414376,134.859678206169
2022-03-02,Kaufman,17.0692648806114,14.3623085169328
2022-03-02,Travis,64.6740062384028,54.1585205453997
2022-03-09,Kaufman,15.8294839595157,16.7696208162279
2022-03-09,Travis,39.9699247102156,36.550277042649
2022-03-16,Travis,44.4686837526969,39.4599195452979
2022-03-23,Kaufman,15.5316927769301,13.5361119752496
2022-03-23,Travis,69.2022010010259,72.4221472923408
2022-03-30,Travis,86.79666425109,86.0646972914943
2022-04-06,Kaufman,20.1938142311683,22.2760879443546
2022-04-06,Travis,109.326733992569,104.099049048222
2022-04-13,Kaufman,21.0080241688112,18.522421634342
2022-04-13,Travis,135.62532850099,153.499510471028
2022-04-20,Kaufman,31.4429192754444,29.6823705311445
2022-04-20,Travis,116.197967892547,95.654880073604
2022-04-27,Kaufman,51.7643871400875,51.4056118937462
2022-04-27,Travis,151.949929507333,161.068776589838
2022-05-04,Kaufman,69.8675854627341,75.2815047343957
2022-05-04,Travis,168.044828610576,171.769590611041
2022-05-11,Kaufman,95.9509597052202,66.6738819450755
2022-05-11,Travis,186.623802236784,160.12183262945
2022-05-18,Kaufman,200.317756962314,233.728725716624
2022-05-18,Travis,287.381333120884,307.485892291865
2022-05-25,Travis,351.025661808664,334.222596928396
2022-06-01,Dallas,,
2022-06-01,Travis,434.393430875597,461.777690846536
2022-06-01,Webb,,
2022-06-08,Dallas,252.467574696214,266.162832776957
2022-06-08,Kaufman,230.387032173034,230.387032173034
2022-06-08,Travis,448.311772235538,425.027224939043
2022-06-08,Webb,180.25902208927,174.980129606867
2022-06-15,Dallas,232.376142411393,197.686542373242
2022-06-15,Travis,515.424753191153,527.98404281052
2022-06-15,Webb,208.581876813873,201.374592018885
2022-06-22,Dallas,305.582484274594,337.347852198432
2022-06-22,Travis,538.248370903678,555.585122965791
2022-06-22,Webb,246.049234244634,271.012763200831
2022-06-29,Dallas,307.179397415477,286.416954480593
2022-06-29,El Paso,391.380819211858,389.916389385854
2022-06-29,Travis,512.026211053919,479.165690748383
2022-06-29,Webb,224.476722934602,190.869760645594
2022-07-06,Dallas,355.53946160294,360.060714372062
2022-07-06,El Paso,414.51506502565,397.238538515873
2022-07-06,Travis,571.780376156026,599.909380364186
2022-07-06,Webb,328.22108324555,312.368531824406
2022-07-13,Dallas,401.560661488191,406.576957648803
2022-07-13,El Paso,488.891671848884,508.219846704553
2022-07-13,Kaufman,525.129692877474,468.418131887151
2022-07-13,Travis,580.507502031502,551.87904473103
2022-07-13,Webb,472.512473063974,528.982611530079
2022-07-20,Dallas,433.305766510657,422.995423961874
2022-07-20,El Paso,490.583487637881,503.232105759216
2022-07-20,Kaufman,655.110272557279,751.975936838766
2022-07-20,Travis,624.220830453205,675.619452900705
2022-07-20,Webb,668.96505483626,406.775860439122
2022-07-27,Dallas,467.711639301568,501.275945567643
2022-07-27,El Paso,438.319193008517,422.35265608587
2022-07-27,Kaufman,509.666409043514,454.339756101457
2022-07-27,Travis,530.084285697165,490.968126385379
2022-07-27,Webb,1364.8834750391,1857.70427573099
2022-08-03,Dallas,399.806285203259,378.170629576964
2022-08-03,El Paso,419.214481151339,437.272427948403
2022-08-03,Kaufman,456.894130578368,488.663493016492
2022-08-03,Travis,517.218543541064,541.013755740771
2022-08-03,Webb,580.947118543071,351.7078868715
2022-08-10,Dallas,363.126375573477,384.87924734405
2022-08-10,El Paso,348.552047120768,343.844519028551
2022-08-10,Kaufman,351.368083468332,332.371055302786
2022-08-10,Travis,464.04182469697,448.288111897925
2022-08-10,Webb,241.577231730352,221.146888041433
2022-08-17,Dallas,291.974026456404,261.070634487696
2022-08-17,El Paso,274.22594394177,278.661778662001
2022-08-17,Kaufman,305.538510072862,290.060786582359
2022-08-17,Travis,423.93180568365,450.08474484935
2022-08-17,Webb,250.983304049102,213.167951344879
2022-08-24,Dallas,330.47352652674,322.68237344359
2022-08-24,El Paso,198.469546946577,186.864029974067
2022-08-24,Kaufman,327.442659644745,340.616858804948
2022-08-24,Travis,316.427089170584,294.963742806576
2022-08-24,Webb,379.229219532205,432.08113087366
2022-08-31,Dallas,427.472112573559,431.041030898384
2022-08-31,El Paso,158.672405338014,164.699383121196
2022-08-31,Galveston,1562.78543368705,1871.62801807945
2022-08-31,Travis,289.367499835291,268.62281894785
2022-08-31,Webb,327.716040338227,333.882842353712
2022-09-07,Dallas,466.72942857865,517.986178404229
2022-09-07,El Paso,113.542758739735,106.372869569236
2022-09-07,Galveston,600.876743446057,327.415096117433
2022-09-07,Kaufman,281.774459203715,312.127736066318
2022-09-07,Travis,343.050824798181,366.749980413774
2022-09-07,Webb,251.664533470273,198.683741740854
2022-09-14,Dallas,304.495735720584,297.390826956598
2022-09-14,El Paso,90.0384160117532,91.0656910402698
2022-09-14,Galveston,367.668097545316,423.972058127161
2022-09-14,Travis,305.729389642311,322.682208186144
2022-09-14,Webb,296.340522916247,381.369391504512
2022-09-21,Dallas,158.791663120399,119.424928092879
2022-09-21,Kaufman,142.011881733635,101.51895215207
2022-09-28,Dallas,167.63428233869,177.659439394279
2022-09-28,El Paso,75.174671817908,69.5948623402044
2022-09-28,Galveston,226.696174803005,182.70525664582
2022-09-28,Kaufman,145.372226345576,133.867745727213
2022-09-28,Travis,209.739849655455,176.897524695518
2022-09-28,Webb,106.90540091852,53.8818297385765
2022-10-05,Dallas,179.481318053908,175.743008362141
2022-10-05,El Paso,79.0515537077709,81.6028905063607
2022-10-05,Galveston,199.32589608353,205.383964107593
2022-10-05,Travis,241.392928653317,228.166790964513
2022-10-05,Webb,54.4353521871486,44.5356950523
2022-10-12,Dallas,185.455714502526,196.256435480606
2022-10-12,El Paso,78.396012875216,78.3028978809786
2022-10-12,Galveston,178.058661531371,191.71426342499
2022-10-12,Kaufman,191.583263353165,235.243423012532
2022-10-12,Travis,324.504680019205,358.792883366331
2022-10-12,Webb,77.5751703908373,94.5875031751149
2022-10-19,Dallas,155.351241645427,151.965536730592
2022-10-19,El Paso,77.84443736979,75.561595221021
2022-10-19,Galveston,105.314465081229,96.1109513806758
2022-10-19,Kaufman,120.012740505655,74.6581423416501
2022-10-19,Travis,272.036702623201,283.689755685393
2022-10-19,Webb,55.1914420013369,42.5653145922643
2022-10-26,Dallas,142.537001010312,127.988867469591
2022-10-26,El Paso,93.0610694738592,86.5173454536772
2022-10-26,Galveston,75.1585845541858,55.7287215396825
2022-10-26,Kaufman,181.251350400327,186.200450654798
2022-10-26,Travis,207.127788752421,138.668309631302
2022-10-26,Webb,56.8545533348176,66.299890463849
2022-11-02,Dallas,169.027002661113,191.300999452919
2022-11-02,El Paso,149.573653910627,136.735439807425
2022-11-02,Galveston,101.807520226997,131.925669785709
2022-11-02,Kaufman,251.678616083854,268.048157441119
2022-11-02,Travis,319.748504944592,404.403738303922
2022-11-02,Webb,42.7335254937486,33.3624435612452
2022-11-09,Dallas,135.03552043891,120.969150685408
2022-11-09,El Paso,238.533342985792,263.982818780383
2022-11-09,Galveston,48.3161105007112,27.4137206794617
2022-11-09,Travis,210.646961117235,162.207766820563
2022-11-09,Webb,51.9936793151785,56.6514882536619
