Date,County,Location_ID,sample_location,key_plot_id,ptc_15d,detect_prop_15d,percentile
2021-06-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-06-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,20933,100,
2021-06-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,79,100,
2021-06-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-98,100,
2021-06-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-38,100,
2021-06-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-06-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-07-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-07-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-07-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-07-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,2438,100,
2021-07-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,613,100,
2021-07-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,100,100,
2021-07-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,291,100,
2021-07-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,664,100,
2021-07-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,194,100,
2021-07-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,13,100,
2021-07-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,32,100,
2021-07-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-07-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-07-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-07-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-07-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-08-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,55,100,
2021-08-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-72,100,
2021-08-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-95,100,
2021-08-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-76,100,
2021-08-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,16,100,
2021-08-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-18,100,
2021-08-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-42,100,
2021-08-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-65,100,
2021-08-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-78,100,
2021-08-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,224,100,
2021-09-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
2021-09-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,,100,
