Plant,Date,Viral_Load_PCT,p_value,Trend,Date_First,Date_Last,v1_est,v2_est,Viral_Copies_Log
CEDAR BAYOU,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.64893896
CLINTON PARK,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.49364477
EASTHAVEN,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.33652269
ALMEDA SIMS,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.90787341
GREENRIDGE,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.53357195
IMPERIAL VALLEY,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.58704151
INTERCONTINENTAL AIRPORT,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.16774668
FOREST COVE,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.32880279
NORTHWEST,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.25703362
NORTHBELT,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.51463626
NORTHGATE,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.79856923
69TH STREET,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.71516848
PARK TEN,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.8241734
SAGEMONT,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.8098688
SIMS BAYOU,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.41852589
SOUTHWEST,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.92215693
WILLOWBROOK,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.86427369
WHITE OAK,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.24754408
WEST DISTRICT,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.12177948
WESTWAY,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.58774666
METRO CENTRAL,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.19581406
SOUTHEAST,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.60297774
TURKEY CREEK,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.51524537
UPPER BRAYS,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.95528352
BELTWAY,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.88899792
KEEGANS BAYOU,2020-07-06,100,,,2020-07-06,2020-07-08,,,12.56793122
CHOCOLATE BAYOU,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.69746727
TIDWELL TIMBERS,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.74053346
HOMESTEAD,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.01609042
NORTHEAST,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.37955123
KINGWOOD CENTRAL,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.34033617
KINGWOOD WEST,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.99112049
MUD203,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.72518203
WCID47,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.73415092
WCID76,2020-07-06,100,,,2020-07-06,2020-07-08,,,10.71478879
WCID111,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.75854585
FWSD23,2020-07-06,100,,,2020-07-06,2020-07-08,,,11.43656529
WEST LAKE,2020-07-06,,,,2020-07-06,2020-07-08,,,
z.TOTAL,2020-07-06,100,,,2020-07-06,2020-07-08,,,13.50628478
